# AGN bolometric luminosity data, taken from Shen et al. (2020):
# 2020ApJ.892.17D
# In this file we include all of the data from the paper, for all redshifts and
# observation bands. Units of the luminosity are erg/s. Units of the luminosity 
# function are Mpc^-3 dex^-1.
#
#Wavelength    Redshift    log_L_bol_err    log_L_bol_err    log_Phi    log_Phi_erra
hard_X_ray       0.20          42.31             0.00         -2.48        0.27
hard_X_ray       0.20          42.75             0.19         -2.63        0.25
hard_X_ray       0.20          43.21             0.19         -3.06        0.32
hard_X_ray       0.20          43.68             0.19         -3.91        0.62
hard_X_ray       0.20          44.16             0.19         -3.60        0.19
hard_X_ray       0.20          44.64             0.19         -3.87        0.13
hard_X_ray       0.20          45.14             0.19         -4.83        0.19
hard_X_ray       0.20          45.64             0.19         -5.38        0.22
hard_X_ray       0.20          46.14             0.19         -6.38        0.66
hard_X_ray       0.20          43.56             0.00         -3.68        0.26
hard_X_ray       0.20          44.20             0.25         -3.73        0.21
hard_X_ray       0.20          44.85             0.25         -4.27        0.21
hard_X_ray       0.20          45.52             0.25         -5.10        0.31
hard_X_ray       0.20          43.44             0.00         -3.91        0.22
hard_X_ray       0.20          44.07             0.25         -4.02        0.13
hard_X_ray       0.20          44.72             0.25         -4.54        0.10
hard_X_ray       0.20          45.39             0.25         -5.21        0.10
hard_X_ray       0.20          46.06             0.25         -6.23        0.12
hard_X_ray       0.20          46.74             0.25         -6.80        0.13
soft_X_ray       0.20          43.63             0.00         -3.23        0.16
soft_X_ray       0.20          44.10             0.19         -3.69        0.14
soft_X_ray       0.20          44.43             0.12         -4.09        0.12
soft_X_ray       0.20          44.75             0.12         -4.25        0.07
soft_X_ray       0.20          45.08             0.12         -4.80        0.08
soft_X_ray       0.20          45.42             0.12         -5.40        0.07
soft_X_ray       0.20          45.75             0.12         -5.96        0.09
soft_X_ray       0.20          46.09             0.12         -6.59        0.10
soft_X_ray       0.20          46.43             0.12         -7.22        0.11
soft_X_ray       0.20          47.28             0.31         -9.12        0.21
soft_X_ray       0.20          42.02             0.00         -1.74        0.24
soft_X_ray       0.20          42.79             0.33         -2.81        0.15
soft_X_ray       0.20          43.59             0.33         -3.43        0.12
soft_X_ray       0.20          44.16             0.22         -3.94        0.07
soft_X_ray       0.20          44.68             0.20         -4.54        0.07
soft_X_ray       0.20          45.14             0.17         -5.24        0.07
soft_X_ray       0.20          45.67             0.20         -6.14        0.08
soft_X_ray       0.20          46.28             0.23         -7.19        0.10
soft_X_ray       0.20          47.10             0.30         -9.12        0.65
soft_X_ray       0.20          41.55             0.00         -2.40        0.22
soft_X_ray       0.20          42.71             0.50         -3.12        0.16
soft_X_ray       0.20          43.94             0.50         -3.50        0.06
soft_X_ray       0.20          45.25             0.50         -5.09        0.04
soft_X_ray       0.20          46.60             0.50         -7.10        0.05
soft_X_ray       0.20          47.97             0.50         -9.42        0.09
mid_IR           0.20          44.60             0.00         -3.65        0.15
mid_IR           0.20          45.07             0.25         -4.35        0.09
mid_IR           0.20          45.56             0.25         -5.46        0.13
mid_IR           0.20          46.04             0.25         -6.29        0.25
mid_IR           0.20          44.53             0.00         -3.67        0.20
mid_IR           0.20          44.16             0.20         -3.34        0.18
mid_IR           0.20          43.79             0.20         -2.96        0.12
mid_IR           0.20          43.85             0.00         -3.32        0.26
mid_IR           0.20          44.22             0.20         -3.58        0.16
mid_IR           0.20          44.59             0.20         -4.23        0.26
mid_IR           0.20          44.97             0.20         -4.64        0.26
mid_IR           0.20          45.36             0.20         -5.19        0.26
mid_IR           0.20          45.75             0.20         -5.67        0.21
mid_IR           0.20          46.14             0.20         -6.68        0.41
mid_IR           0.20          46.53             0.20         -7.67        0.51
mid_IR           0.20          46.92             0.20         -8.37        0.56
mid_IR           0.20          47.32             0.20         -8.64        0.56
UV               0.40          45.14             0.00         -4.33        0.03
UV               0.40          45.26             0.06         -4.33        0.03
UV               0.40          45.37             0.06         -4.57        0.02
UV               0.40          45.49             0.06         -4.78        0.02
UV               0.40          45.60             0.06         -5.03        0.03
UV               0.40          45.72             0.06         -5.29        0.03
UV               0.40          45.84             0.06         -5.56        0.04
UV               0.40          45.96             0.06         -5.78        0.05
UV               0.40          46.07             0.06         -5.98        0.06
UV               0.40          46.19             0.06         -6.30        0.08
UV               0.40          46.31             0.06         -6.58        0.10
UV               0.40          46.42             0.06         -6.97        0.15
UV               0.40          46.54             0.06         -7.22        0.20
UV               0.40          46.78             0.12         -7.66        0.39
hard_X_ray       0.40          43.54             0.00         -3.42        0.23
hard_X_ray       0.40          44.17             0.25         -3.60        0.19
hard_X_ray       0.40          44.82             0.25         -4.25        0.26
hard_X_ray       0.40          45.49             0.25         -4.72        0.27
hard_X_ray       0.40          46.16             0.25         -5.58        0.26
hard_X_ray       0.40          46.84             0.25         -7.36        0.33
hard_X_ray       0.40          43.11             0.00         -3.25        0.12
hard_X_ray       0.40          43.36             0.10         -3.10        0.08
hard_X_ray       0.40          43.58             0.09         -3.16        0.08
hard_X_ray       0.40          43.74             0.06         -3.35        0.09
hard_X_ray       0.40          43.90             0.06         -3.31        0.08
hard_X_ray       0.40          44.06             0.06         -3.53        0.07
hard_X_ray       0.40          44.22             0.06         -3.67        0.08
hard_X_ray       0.40          44.38             0.06         -3.88        0.08
hard_X_ray       0.40          44.54             0.06         -3.78        0.07
hard_X_ray       0.40          44.70             0.06         -4.01        0.08
hard_X_ray       0.40          44.91             0.08         -4.20        0.08
hard_X_ray       0.40          45.11             0.07         -4.64        0.13
hard_X_ray       0.40          45.32             0.08         -4.77        0.08
hard_X_ray       0.40          45.53             0.08         -5.06        0.11
hard_X_ray       0.40          45.70             0.06         -5.25        0.10
hard_X_ray       0.40          45.91             0.08         -5.68        0.10
hard_X_ray       0.40          46.22             0.11         -6.20        0.12
hard_X_ray       0.40          46.75             0.20         -7.24        0.19
hard_X_ray       0.40          47.20             0.16         -8.44        0.77
hard_X_ray       0.40          47.57             0.14         -9.33        0.39
hard_X_ray       0.40          48.02             0.16         -9.69        0.39
hard_X_ray       0.40          40.44             0.00         -0.82        0.38
hard_X_ray       0.40          40.71             0.12         -1.18        0.23
hard_X_ray       0.40          40.98             0.12         -1.46        0.17
hard_X_ray       0.40          41.25             0.12         -1.73        0.15
hard_X_ray       0.40          41.53             0.12         -1.98        0.12
hard_X_ray       0.40          41.81             0.12         -2.27        0.11
hard_X_ray       0.40          42.09             0.12         -2.43        0.09
hard_X_ray       0.40          42.38             0.12         -2.57        0.09
hard_X_ray       0.40          42.68             0.12         -2.86        0.11
hard_X_ray       0.40          42.98             0.12         -3.12        0.13
hard_X_ray       0.40          43.29             0.12         -3.31        0.15
hard_X_ray       0.40          43.60             0.12         -3.48        0.15
hard_X_ray       0.40          43.91             0.12         -3.59        0.13
hard_X_ray       0.40          44.24             0.12         -3.67        0.12
hard_X_ray       0.40          44.56             0.12         -3.79        0.12
hard_X_ray       0.40          44.89             0.12         -4.08        0.14
hard_X_ray       0.40          45.22             0.12         -4.51        0.21
hard_X_ray       0.40          45.55             0.12         -5.36        0.49
hard_X_ray       0.40          45.89             0.12         -5.17        0.38
hard_X_ray       0.40          46.23             0.12         -5.61        0.22
hard_X_ray       0.40          46.57             0.12         -6.47        0.20
hard_X_ray       0.40          46.91             0.12         -7.30        0.21
hard_X_ray       0.40          47.25             0.12         -8.40        0.38
hard_X_ray       0.40          42.93             0.00         -3.05        0.47
hard_X_ray       0.40          43.79             0.35         -3.37        0.57
hard_X_ray       0.40          44.70             0.35         -4.05        0.54
hard_X_ray       0.40          45.39             0.26         -4.98        0.47
hard_X_ray       0.40          45.80             0.15         -5.36        0.50
hard_X_ray       0.40          46.20             0.15         -6.20        0.45
hard_X_ray       0.40          46.92             0.26         -7.48        0.38
hard_X_ray       0.40          43.79             1.18         -3.28        0.52
hard_X_ray       0.40          44.70             0.35         -4.05        0.57
hard_X_ray       0.40          45.39             0.26         -4.78        0.57
hard_X_ray       0.40          45.80             0.15         -5.50        0.52
hard_X_ray       0.40          46.20             0.15         -6.38        0.50
hard_X_ray       0.40          46.92             0.26         -7.60        0.55
hard_X_ray       0.40          47.88             0.35         -10.17        0.37
hard_X_ray       0.40          43.76             0.00         -3.11        0.21
hard_X_ray       0.40          45.05             0.50         -4.14        0.21
hard_X_ray       0.40          46.40             0.50         -6.34        0.21
hard_X_ray       0.40          47.77             0.50         -9.42        0.81
hard_X_ray       0.40          44.09             0.00         -3.50        0.38
hard_X_ray       0.40          44.42             0.12         -3.80        0.29
hard_X_ray       0.40          44.74             0.12         -4.03        0.22
hard_X_ray       0.40          45.07             0.12         -4.41        0.21
hard_X_ray       0.40          45.41             0.12         -5.01        0.26
hard_X_ray       0.40          45.74             0.12         -5.59        0.31
hard_X_ray       0.40          46.08             0.12         -5.99        0.32
hard_X_ray       0.40          41.53             0.00         -2.21        0.85
hard_X_ray       0.40          41.81             0.12         -2.23        0.27
hard_X_ray       0.40          42.09             0.12         -2.40        0.21
hard_X_ray       0.40          42.38             0.12         -2.65        0.18
hard_X_ray       0.40          42.68             0.12         -2.79        0.14
hard_X_ray       0.40          42.98             0.12         -2.84        0.11
hard_X_ray       0.40          43.29             0.12         -2.99        0.11
hard_X_ray       0.40          43.60             0.12         -3.25        0.13
hard_X_ray       0.40          43.91             0.12         -3.62        0.17
hard_X_ray       0.40          44.24             0.12         -3.69        0.15
hard_X_ray       0.40          44.56             0.12         -3.78        0.13
hard_X_ray       0.40          44.89             0.12         -4.05        0.14
hard_X_ray       0.40          45.22             0.12         -4.35        0.14
hard_X_ray       0.40          45.55             0.12         -4.83        0.14
hard_X_ray       0.40          45.89             0.12         -5.51        0.18
hard_X_ray       0.40          46.23             0.12         -6.00        0.22
hard_X_ray       0.40          46.57             0.12         -6.46        0.32
hard_X_ray       0.40          46.91             0.12         -6.71        0.43
hard_X_ray       0.40          42.91             0.00         -2.86        0.76
hard_X_ray       0.40          44.00             0.43         -3.56        0.44
hard_X_ray       0.40          44.68             0.27         -3.99        0.30
hard_X_ray       0.40          45.43             0.28         -4.94        0.26
hard_X_ray       0.40          45.79             0.13         -5.34        0.22
hard_X_ray       0.40          46.21             0.16         -6.29        0.22
hard_X_ray       0.40          46.90             0.25         -7.44        0.37
hard_X_ray       0.40          47.85             0.35         -8.71        0.44
hard_X_ray       0.40          48.83             0.36         -10.45        0.80
hard_X_ray       0.40          42.31             0.00         -2.89        0.30
hard_X_ray       0.40          42.75             0.19         -3.01        0.18
hard_X_ray       0.40          43.21             0.19         -3.18        0.14
hard_X_ray       0.40          43.68             0.19         -3.23        0.12
hard_X_ray       0.40          44.16             0.19         -3.73        0.19
hard_X_ray       0.40          44.64             0.19         -3.94        0.22
hard_X_ray       0.40          45.14             0.19         -4.23        0.18
