# AGN bolometric luminosity data, taken from Shen et al. (2020):
# 2020ApJ.892.17D
# In this file we include all of the data from the paper, for all redshifts and
# observation bands. Units of the luminosity are erg/s. Units of the luminosity 
# function are Mpc^-3 dex^-1.
#
#Wavelength    Redshift    log_L_bol_err    log_L_bol_err    log_Phi    log_Phi_erra
B_band           1.00          46.32             0.05         -5.05        0.07
B_band           1.00          46.22             0.05         -5.04        0.08
B_band           1.00          46.13             0.05         -4.85        0.07
B_band           1.00          46.03             0.05         -4.66        0.06
B_band           1.00          45.93             0.05         -4.59        0.06
B_band           1.00          45.83             0.05         -4.52        0.06
B_band           1.00          45.74             0.05         -4.39        0.05
B_band           1.00          45.64             0.05         -4.34        0.05
B_band           1.00          45.54             0.05         -4.20        0.05
B_band           1.00          45.45             0.05         -4.38        0.07
B_band           1.00          45.35             0.05         -4.12        0.08
B_band           1.00          45.25             0.05         -3.88        0.21
B_band           1.00          47.17             0.00         -7.41        0.20
B_band           1.00          47.06             0.06         -6.80        0.11
B_band           1.00          46.94             0.06         -6.58        0.09
B_band           1.00          46.82             0.06         -6.20        0.06
B_band           1.00          46.70             0.06         -5.83        0.05
B_band           1.00          46.58             0.06         -5.67        0.04
B_band           1.00          46.47             0.06         -5.41        0.04
B_band           1.00          46.35             0.06         -5.17        0.03
B_band           1.00          46.23             0.06         -5.02        0.03
B_band           1.00          46.11             0.06         -4.91        0.05
B_band           1.00          46.00             0.06         -4.78        0.07
B_band           1.00          45.88             0.06         -4.48        0.47
hard_X_ray       1.00          43.42             0.00         -3.47        0.14
hard_X_ray       1.00          43.89             0.19         -3.13        0.08
hard_X_ray       1.00          44.13             0.09         -3.17        0.08
hard_X_ray       1.00          44.29             0.06         -3.33        0.06
hard_X_ray       1.00          44.45             0.06         -3.33        0.06
hard_X_ray       1.00          44.61             0.06         -3.48        0.06
hard_X_ray       1.00          44.78             0.06         -3.65        0.05
hard_X_ray       1.00          44.94             0.06         -3.63        0.04
hard_X_ray       1.00          45.11             0.06         -3.72        0.05
hard_X_ray       1.00          45.27             0.06         -3.88        0.05
hard_X_ray       1.00          45.44             0.06         -4.12        0.05
hard_X_ray       1.00          45.61             0.06         -4.27        0.05
hard_X_ray       1.00          45.78             0.06         -4.61        0.07
hard_X_ray       1.00          45.94             0.06         -4.72        0.07
hard_X_ray       1.00          46.20             0.09         -5.25        0.07
hard_X_ray       1.00          46.64             0.16         -6.15        0.11
hard_X_ray       1.00          47.09             0.16         -7.70        0.32
hard_X_ray       1.00          41.81             0.00         -2.31        0.61
hard_X_ray       1.00          42.09             0.12         -2.40        0.22
hard_X_ray       1.00          42.38             0.12         -2.50        0.14
hard_X_ray       1.00          42.68             0.12         -2.77        0.12
hard_X_ray       1.00          42.98             0.12         -3.09        0.11
hard_X_ray       1.00          43.29             0.12         -3.33        0.10
hard_X_ray       1.00          43.60             0.12         -3.36        0.08
hard_X_ray       1.00          43.91             0.12         -3.39        0.07
hard_X_ray       1.00          44.24             0.12         -3.62        0.07
hard_X_ray       1.00          44.56             0.12         -3.78        0.09
hard_X_ray       1.00          44.89             0.12         -3.92        0.09
hard_X_ray       1.00          45.22             0.12         -4.18        0.09
hard_X_ray       1.00          45.55             0.12         -4.27        0.08
hard_X_ray       1.00          45.89             0.12         -4.66        0.09
hard_X_ray       1.00          46.23             0.12         -5.30        0.15
hard_X_ray       1.00          46.57             0.12         -5.75        0.19
hard_X_ray       1.00          46.91             0.12         -6.86        0.76
hard_X_ray       1.00          47.25             0.12         -7.28        1.34
hard_X_ray       1.00          43.00             0.00         -3.14        0.42
hard_X_ray       1.00          43.93             0.38         -3.39        0.53
hard_X_ray       1.00          44.84             0.35         -3.69        0.60
hard_X_ray       1.00          45.44             0.22         -4.17        0.54
hard_X_ray       1.00          45.91             0.18         -4.60        0.54
hard_X_ray       1.00          46.66             0.27         -5.77        0.51
hard_X_ray       1.00          47.38             0.26         -7.78        0.37
hard_X_ray       1.00          43.93             1.29         -3.29        0.54
hard_X_ray       1.00          44.84             0.35         -3.69        0.61
hard_X_ray       1.00          45.44             0.22         -4.18        0.50
hard_X_ray       1.00          45.91             0.18         -4.60        0.51
hard_X_ray       1.00          46.66             0.27         -6.14        0.55
hard_X_ray       1.00          47.38             0.26         -8.24        0.37
hard_X_ray       1.00          48.13             0.27         -9.08        0.38
hard_X_ray       1.00          49.17             0.38         -10.95        0.37
hard_X_ray       1.00          43.76             0.00         -2.86        0.21
hard_X_ray       1.00          45.05             0.50         -3.69        0.21
hard_X_ray       1.00          46.40             0.50         -5.54        0.21
hard_X_ray       1.00          47.77             0.50         -8.64        0.34
hard_X_ray       1.00          45.07             0.00         -3.52        0.52
hard_X_ray       1.00          45.41             0.12         -4.05        0.31
hard_X_ray       1.00          45.74             0.12         -4.50        0.23
hard_X_ray       1.00          46.08             0.12         -4.80        0.15
hard_X_ray       1.00          46.42             0.12         -5.55        0.18
hard_X_ray       1.00          46.76             0.12         -6.78        0.50
hard_X_ray       1.00          42.68             0.00         -3.04        1.03
hard_X_ray       1.00          42.98             0.12         -3.09        0.35
hard_X_ray       1.00          43.29             0.12         -3.15        0.18
hard_X_ray       1.00          43.60             0.12         -3.26        0.13
hard_X_ray       1.00          43.91             0.12         -3.35        0.10
hard_X_ray       1.00          44.24             0.12         -3.51        0.08
hard_X_ray       1.00          44.56             0.12         -3.63        0.07
hard_X_ray       1.00          44.89             0.12         -3.89        0.08
hard_X_ray       1.00          45.22             0.12         -4.05        0.09
hard_X_ray       1.00          45.55             0.12         -4.23        0.10
hard_X_ray       1.00          45.89             0.12         -4.60        0.10
hard_X_ray       1.00          46.23             0.12         -5.28        0.14
hard_X_ray       1.00          46.57             0.12         -5.72        0.16
hard_X_ray       1.00          46.91             0.12         -6.38        0.24
hard_X_ray       1.00          47.25             0.12         -7.51        0.50
hard_X_ray       1.00          44.72             0.00         -3.82        0.21
hard_X_ray       1.00          45.32             0.23         -4.09        0.21
hard_X_ray       1.00          45.79             0.17         -4.48        0.21
hard_X_ray       1.00          46.53             0.28         -5.58        0.22
hard_X_ray       1.00          47.29             0.27         -7.22        0.26
hard_X_ray       1.00          48.00             0.26         -8.91        0.31
hard_X_ray       1.00          43.21             0.00         -2.89        0.20
hard_X_ray       1.00          43.68             0.19         -3.38        0.16
hard_X_ray       1.00          44.16             0.19         -3.51        0.10
hard_X_ray       1.00          44.64             0.19         -3.76        0.10
hard_X_ray       1.00          45.14             0.19         -4.03        0.11
hard_X_ray       1.00          45.64             0.19         -4.52        0.19
hard_X_ray       1.00          46.14             0.19         -4.90        0.24
hard_X_ray       1.00          46.65             0.19         -5.82        0.28
hard_X_ray       1.00          47.17             0.19         -7.20        0.28
hard_X_ray       1.00          47.68             0.19         -8.54        0.66
hard_X_ray       1.00          43.56             0.00         -3.35        0.21
hard_X_ray       1.00          44.20             0.25         -3.90        0.26
hard_X_ray       1.00          44.85             0.25         -4.06        0.26
hard_X_ray       1.00          45.52             0.25         -4.35        0.26
hard_X_ray       1.00          46.19             0.25         -4.93        0.36
hard_X_ray       1.00          46.87             0.25         -6.49        0.36
hard_X_ray       1.00          47.56             0.25         -7.49        0.41
hard_X_ray       1.00          42.93             0.00         -2.71        0.13
hard_X_ray       1.00          43.76             0.33         -3.22        0.09
hard_X_ray       1.00          44.61             0.33         -3.37        0.08
hard_X_ray       1.00          45.50             0.33         -4.46        0.09
hard_X_ray       1.00          46.40             0.33         -5.82        0.10
hard_X_ray       1.00          47.31             0.33         -7.71        0.17
soft_X_ray       1.00          43.63             0.00         -2.92        0.15
soft_X_ray       1.00          44.26             0.25         -3.24        0.14
soft_X_ray       1.00          44.92             0.25         -3.81        0.13
soft_X_ray       1.00          45.42             0.19         -4.08        0.15
soft_X_ray       1.00          45.75             0.12         -4.29        0.11
soft_X_ray       1.00          46.09             0.12         -4.94        0.10
soft_X_ray       1.00          46.43             0.12         -5.71        0.09
soft_X_ray       1.00          46.77             0.12         -6.57        0.10
soft_X_ray       1.00          47.11             0.12         -7.50        0.14
soft_X_ray       1.00          47.80             0.25         -8.93        0.13
soft_X_ray       1.00          49.00             0.44         -10.77        0.19
soft_X_ray       1.00          43.76             0.00         -2.97        0.18
soft_X_ray       1.00          45.06             0.50         -3.87        0.18
soft_X_ray       1.00          46.41             0.50         -5.83        0.28
soft_X_ray       1.00          44.29             0.00         -3.20        0.22
soft_X_ray       1.00          44.94             0.25         -3.91        0.12
soft_X_ray       1.00          45.61             0.25         -4.38        0.08
soft_X_ray       1.00          46.42             0.30         -5.93        0.07
soft_X_ray       1.00          47.37             0.35         -8.30        0.21
soft_X_ray       1.00          48.20             0.30         -9.55        0.27
soft_X_ray       1.00          48.89             0.25         -10.53        0.28
soft_X_ray       1.00          42.12             0.00         -2.12        0.10
soft_X_ray       1.00          43.31             0.50         -2.76        0.08
soft_X_ray       1.00          44.59             0.50         -3.44        0.09
soft_X_ray       1.00          45.92             0.50         -5.24        0.05
soft_X_ray       1.00          47.28             0.50         -8.45        0.39
soft_X_ray       1.00          48.66             0.50         -10.01        0.15
mid_IR           1.00          46.04             0.00         -4.49        0.14
mid_IR           1.00          46.53             0.25         -5.26        0.13
mid_IR           1.00          47.02             0.25         -6.54        0.15
mid_IR           1.00          47.52             0.25         -8.14        0.44
mid_IR           1.00          46.07             0.00         -4.97        0.20
mid_IR           1.00          45.68             0.20         -4.20        0.09
mid_IR           1.00          45.29             0.20         -4.05        0.08
mid_IR           1.00          44.91             0.20         -3.91        0.08
mid_IR           1.00          44.97             0.00         -4.11        0.31
mid_IR           1.00          45.36             0.20         -4.66        0.31
mid_IR           1.00          45.75             0.20         -4.73        0.21
mid_IR           1.00          46.14             0.20         -4.78        0.26
mid_IR           1.00          46.53             0.20         -5.67        0.21
mid_IR           1.00          46.92             0.20         -6.29        0.21
mid_IR           1.00          47.32             0.20         -7.14        0.26
mid_IR           1.00          47.71             0.20         -8.21        0.56
UV               1.20          46.42             0.00         -5.16        0.39
UV               1.20          46.03             0.20         -4.61        0.20
UV               1.20          45.64             0.20         -4.51        0.20
UV               1.20          45.25             0.20         -4.02        0.20
UV               1.20          46.19             0.00         -4.72        0.03
UV               1.20          46.31             0.06         -4.90        0.02
UV               1.20          46.42             0.06         -5.15        0.02
UV               1.20          46.54             0.06         -5.39        0.03
UV               1.20          46.66             0.06         -5.66        0.03
UV               1.20          46.78             0.06         -5.94        0.04
UV               1.20          46.90             0.06         -6.22        0.05
UV               1.20          47.01             0.06         -6.75        0.08
UV               1.20          47.13             0.06         -6.91        0.09
UV               1.20          47.25             0.06         -7.14        0.11
UV               1.20          47.37             0.06         -7.89        0.25
UV               1.20          47.49             0.06         -8.05        0.30
UV               1.20          47.73             0.12         -8.28        0.39
UV               1.20          47.01             0.00         -7.29        0.45
UV               1.20          46.85             0.08         -6.20        0.15
UV               1.20          46.70             0.08         -5.60        0.09
UV               1.20          46.54             0.08         -5.36        0.08
UV               1.20          46.38             0.08         -5.09        0.07
UV               1.20          46.23             0.08         -4.88        0.07
UV               1.20          46.07             0.08         -4.66        0.07
UV               1.20          45.91             0.08         -4.44        0.06
UV               1.20          45.76             0.08         -4.32        0.06
UV               1.20          45.60             0.08         -4.21        0.06
UV               1.20          45.45             0.08         -4.10        0.06
UV               1.20          45.29             0.08         -4.07        0.06
UV               1.20          47.83             0.00         -8.60        0.66
UV               1.20          47.43             0.20         -7.85        0.21
UV               1.20          47.23             0.10         -7.11        0.09
UV               1.20          47.04             0.10         -6.75        0.07
UV               1.20          46.84             0.10         -6.16        0.04
UV               1.20          46.64             0.10         -5.73        0.03
UV               1.20          46.45             0.10         -5.27        0.04
UV               1.20          46.25             0.10         -4.99        0.04
UV               1.20          46.05             0.10         -4.70        0.04
UV               1.20          45.86             0.10         -4.49        0.03
UV               1.20          45.66             0.10         -4.33        0.03
UV               1.20          45.47             0.10         -4.22        0.03
UV               1.20          45.28             0.10         -4.23        0.05
UV               1.20          45.08             0.10         -3.65        0.66
B_band           1.20          46.81             0.00         -6.03        0.21
B_band           1.20          46.71             0.05         -5.58        0.12
B_band           1.20          46.62             0.05         -5.43        0.10
B_band           1.20          46.52             0.05         -5.36        0.10
B_band           1.20          46.42             0.05         -5.18        0.09
B_band           1.20          46.32             0.05         -4.89        0.07
B_band           1.20          46.22             0.05         -4.89        0.08
B_band           1.20          46.13             0.05         -4.70        0.07
B_band           1.20          46.03             0.05         -4.51        0.06
B_band           1.20          45.93             0.05         -4.45        0.06
B_band           1.20          45.83             0.05         -4.38        0.06
B_band           1.20          45.74             0.05         -4.25        0.05
B_band           1.20          45.64             0.05         -4.20        0.05
B_band           1.20          45.54             0.05         -4.07        0.05
B_band           1.20          45.45             0.05         -4.25        0.07
B_band           1.20          45.35             0.05         -3.98        0.08
B_band           1.20          45.25             0.05         -3.74        0.21
B_band           1.20          47.41             0.00         -7.48        0.14
B_band           1.20          47.29             0.06         -7.15        0.10
B_band           1.20          47.17             0.06         -7.01        0.09
B_band           1.20          47.06             0.06         -6.57        0.06
B_band           1.20          46.94             0.06         -6.26        0.05
B_band           1.20          46.82             0.06         -5.97        0.04
B_band           1.20          46.70             0.06         -5.68        0.03
B_band           1.20          46.58             0.06         -5.39        0.03
B_band           1.20          46.47             0.06         -5.26        0.03
B_band           1.20          46.35             0.06         -5.11        0.04
B_band           1.20          46.23             0.06         -4.70        0.33
hard_X_ray       1.20          43.27             0.00         -3.58        0.18
hard_X_ray       1.20          43.89             0.25         -3.32        0.09
hard_X_ray       1.20          44.29             0.15         -3.43        0.10
hard_X_ray       1.20          44.45             0.06         -3.44        0.08
hard_X_ray       1.20          44.61             0.06         -3.58        0.07
hard_X_ray       1.20          44.78             0.06         -3.70        0.07
hard_X_ray       1.20          44.94             0.06         -3.75        0.06
hard_X_ray       1.20          45.11             0.06         -3.78        0.05
hard_X_ray       1.20          45.27             0.06         -3.94        0.05
hard_X_ray       1.20          45.44             0.06         -4.01        0.05
hard_X_ray       1.20          45.61             0.06         -4.19        0.05
hard_X_ray       1.20          45.78             0.06         -4.30        0.06
hard_X_ray       1.20          45.94             0.06         -4.65        0.07
hard_X_ray       1.20          46.11             0.06         -4.91        0.08
hard_X_ray       1.20          46.34             0.09         -5.40        0.08
hard_X_ray       1.20          46.77             0.16         -6.11        0.10
hard_X_ray       1.20          47.30             0.19         -7.43        0.18
hard_X_ray       1.20          47.72             0.15         -7.79        0.21
hard_X_ray       1.20          42.09             0.00         -2.32        0.41
hard_X_ray       1.20          42.38             0.12         -2.54        0.20
hard_X_ray       1.20          42.68             0.12         -2.83        0.15
hard_X_ray       1.20          42.98             0.12         -3.05        0.13
hard_X_ray       1.20          43.29             0.12         -3.30        0.12
hard_X_ray       1.20          43.60             0.12         -3.40        0.10
hard_X_ray       1.20          43.91             0.12         -3.50        0.08
hard_X_ray       1.20          44.24             0.12         -3.58        0.07
hard_X_ray       1.20          44.56             0.12         -3.86        0.08
hard_X_ray       1.20          44.89             0.12         -4.03        0.09
hard_X_ray       1.20          45.22             0.12         -4.16        0.09
hard_X_ray       1.20          45.55             0.12         -4.31        0.09
hard_X_ray       1.20          45.89             0.12         -4.56        0.08
hard_X_ray       1.20          46.23             0.12         -4.96        0.10
hard_X_ray       1.20          46.57             0.12         -5.82        0.21
hard_X_ray       1.20          46.91             0.12         -6.23        0.31
hard_X_ray       1.20          47.25             0.12         -7.50        1.30
hard_X_ray       1.20          42.88             0.00         -3.52        0.37
hard_X_ray       1.20          43.81             0.38         -3.32        0.52
hard_X_ray       1.20          44.71             0.35         -3.70        0.54
hard_X_ray       1.20          45.31             0.22         -3.83        0.57
hard_X_ray       1.20          45.78             0.18         -4.19        0.59
hard_X_ray       1.20          46.52             0.28         -5.77        0.44
hard_X_ray       1.20          47.24             0.26         -6.90        0.43
hard_X_ray       1.20          47.99             0.27         -8.31        0.39
hard_X_ray       1.20          43.81             1.56         -3.10        0.55
hard_X_ray       1.20          44.71             0.35         -3.64        0.59
hard_X_ray       1.20          45.31             0.22         -3.85        0.55
hard_X_ray       1.20          45.78             0.18         -4.11        0.55
hard_X_ray       1.20          46.52             0.28         -5.81        0.50
hard_X_ray       1.20          47.24             0.26         -7.51        0.39
hard_X_ray       1.20          47.99             0.27         -9.34        0.37
hard_X_ray       1.20          49.03             0.38         -10.62        0.37
hard_X_ray       1.20          43.76             0.00         -3.03        0.31
hard_X_ray       1.20          45.05             0.50         -4.06        0.21
hard_X_ray       1.20          46.40             0.50         -5.27        0.21
hard_X_ray       1.20          47.77             0.50         -8.05        0.31
hard_X_ray       1.20          46.08             0.00         -4.87        0.36
hard_X_ray       1.20          46.42             0.12         -5.45        0.25
hard_X_ray       1.20          46.76             0.12         -6.13        0.20
hard_X_ray       1.20          47.10             0.12         -6.79        0.19
hard_X_ray       1.20          47.44             0.12         -7.65        0.29
hard_X_ray       1.20          47.79             0.12         -8.12        0.36
hard_X_ray       1.20          42.98             0.00         -3.44        1.11
hard_X_ray       1.20          43.29             0.12         -3.35        0.38
hard_X_ray       1.20          43.60             0.12         -3.30        0.18
hard_X_ray       1.20          43.91             0.12         -3.45        0.14
hard_X_ray       1.20          44.24             0.12         -3.50        0.10
hard_X_ray       1.20          44.56             0.12         -3.58        0.08
hard_X_ray       1.20          44.89             0.12         -3.83        0.08
hard_X_ray       1.20          45.22             0.12         -3.93        0.08
hard_X_ray       1.20          45.55             0.12         -4.18        0.09
hard_X_ray       1.20          45.89             0.12         -4.44        0.11
hard_X_ray       1.20          46.23             0.12         -4.99        0.14
hard_X_ray       1.20          46.57             0.12         -5.76        0.19
hard_X_ray       1.20          46.91             0.12         -6.52        0.30
hard_X_ray       1.20          47.25             0.12         -6.86        0.26
hard_X_ray       1.20          47.59             0.12         -7.84        0.43
hard_X_ray       1.20          44.72             0.00         -3.72        0.21
hard_X_ray       1.20          45.32             0.23         -4.00        0.21
hard_X_ray       1.20          45.79             0.17         -4.35        0.21
hard_X_ray       1.20          46.53             0.28         -5.37        0.22
hard_X_ray       1.20          47.29             0.27         -7.16        0.26
hard_X_ray       1.20          48.00             0.26         -8.92        0.31
hard_X_ray       1.20          43.21             0.00         -3.26        0.65
hard_X_ray       1.20          43.68             0.19         -3.33        0.21
hard_X_ray       1.20          44.16             0.19         -3.61        0.14
hard_X_ray       1.20          44.64             0.19         -3.74        0.10
hard_X_ray       1.20          45.14             0.19         -4.06        0.11
hard_X_ray       1.20          45.64             0.19         -4.24        0.13
hard_X_ray       1.20          46.14             0.19         -4.72        0.20
hard_X_ray       1.20          47.17             0.38         -6.88        0.42
hard_X_ray       1.20          47.68             0.19         -8.05        0.33
hard_X_ray       1.20          43.56             0.00         -3.31        0.21
hard_X_ray       1.20          44.20             0.25         -3.85        0.26
hard_X_ray       1.20          44.85             0.25         -4.01        0.26
hard_X_ray       1.20          45.52             0.25         -4.30        0.26
hard_X_ray       1.20          46.19             0.25         -4.75        0.36
hard_X_ray       1.20          46.87             0.25         -6.38        0.36
hard_X_ray       1.20          47.56             0.25         -7.50        0.41
hard_X_ray       1.20          43.80             0.00         -3.63        0.16
hard_X_ray       1.20          44.66             0.33         -3.95        0.09
hard_X_ray       1.20          45.54             0.33         -4.33        0.09
hard_X_ray       1.20          46.44             0.33         -5.14        0.08
hard_X_ray       1.20          47.35             0.33         -7.32        0.15
hard_X_ray       1.20          48.27             0.33         -8.94        0.25
soft_X_ray       1.20          43.63             0.00         -2.80        0.15
soft_X_ray       1.20          44.26             0.25         -3.06        0.14
soft_X_ray       1.20          44.92             0.25         -3.66        0.13
soft_X_ray       1.20          45.42             0.19         -3.93        0.15
soft_X_ray       1.20          45.75             0.12         -4.11        0.11
soft_X_ray       1.20          46.09             0.12         -4.69        0.10
soft_X_ray       1.20          46.43             0.12         -5.44        0.09
soft_X_ray       1.20          46.77             0.12         -6.36        0.10
soft_X_ray       1.20          47.11             0.12         -7.36        0.14
soft_X_ray       1.20          47.80             0.25         -8.90        0.13
soft_X_ray       1.20          49.00             0.44         -10.76        0.19
soft_X_ray       1.20          45.06             0.00         -3.91        0.19
soft_X_ray       1.20          46.41             0.50         -5.19        0.26
soft_X_ray       1.20          44.29             0.00         -2.98        0.22
soft_X_ray       1.20          44.94             0.25         -3.72        0.12
soft_X_ray       1.20          45.61             0.25         -4.18        0.08
soft_X_ray       1.20          46.42             0.30         -5.62        0.07
soft_X_ray       1.20          47.37             0.35         -8.16        0.21
soft_X_ray       1.20          48.20             0.30         -9.49        0.27
soft_X_ray       1.20          48.89             0.25         -10.47        0.28
soft_X_ray       1.20          42.71             0.00         -2.85        0.13
soft_X_ray       1.20          43.94             0.50         -3.36        0.08
soft_X_ray       1.20          45.25             0.50         -4.19        0.09
soft_X_ray       1.20          46.60             0.50         -5.90        0.05
soft_X_ray       1.20          47.97             0.50         -9.13        0.30
soft_X_ray       1.20          49.35             0.50         -10.72        0.30
mid_IR           1.20          46.04             0.00         -4.20        0.14
mid_IR           1.20          46.53             0.25         -4.96        0.13
mid_IR           1.20          47.02             0.25         -6.25        0.15
mid_IR           1.20          47.52             0.25         -7.85        0.44
mid_IR           1.20          46.86             0.00         -6.09        0.30
mid_IR           1.20          46.46             0.20         -5.60        0.16
mid_IR           1.20          46.07             0.20         -4.64        0.10
mid_IR           1.20          45.68             0.20         -4.42        0.06
mid_IR           1.20          45.29             0.20         -4.18        0.05
mid_IR           1.20          44.97             0.00         -3.95        0.31
mid_IR           1.20          45.36             0.20         -4.50        0.31
mid_IR           1.20          45.75             0.20         -4.57        0.21
mid_IR           1.20          46.14             0.20         -4.59        0.26
mid_IR           1.20          46.53             0.20         -5.48        0.21
mid_IR           1.20          46.92             0.20         -6.11        0.21
mid_IR           1.20          47.32             0.20         -6.96        0.26
mid_IR           1.20          47.71             0.20         -8.03        0.56
UV               1.40          46.42             0.00         -5.05        0.39
UV               1.40          46.03             0.20         -4.50        0.20
UV               1.40          45.64             0.20         -4.41        0.20
UV               1.40          45.25             0.20         -3.91        0.20
UV               1.40          46.31             0.00         -4.79        0.03
UV               1.40          46.42             0.06         -4.86        0.02
UV               1.40          46.54             0.06         -5.12        0.02
UV               1.40          46.66             0.06         -5.36        0.03
UV               1.40          46.78             0.06         -5.62        0.03
UV               1.40          46.90             0.06         -5.91        0.04
UV               1.40          47.01             0.06         -6.29        0.05
UV               1.40          47.13             0.06         -6.53        0.06
UV               1.40          47.25             0.06         -6.88        0.08
UV               1.40          47.37             0.06         -7.38        0.14
UV               1.40          47.49             0.06         -7.79        0.22
UV               1.40          47.61             0.06         -8.22        0.39
UV               1.40          47.73             0.06         -8.25        0.39
UV               1.40          47.01             0.00         -7.13        0.45
UV               1.40          46.85             0.08         -6.04        0.15
UV               1.40          46.70             0.08         -5.44        0.09
UV               1.40          46.54             0.08         -5.20        0.08
UV               1.40          46.38             0.08         -4.93        0.07
UV               1.40          46.23             0.08         -4.73        0.07
UV               1.40          46.07             0.08         -4.51        0.07
UV               1.40          45.91             0.08         -4.29        0.06
UV               1.40          45.76             0.08         -4.17        0.06
UV               1.40          45.60             0.08         -4.07        0.06
UV               1.40          45.45             0.08         -3.95        0.06
UV               1.40          45.29             0.08         -3.92        0.06
UV               1.40          47.83             0.00         -8.42        0.66
UV               1.40          47.43             0.20         -7.67        0.21
UV               1.40          47.23             0.10         -6.93        0.09
UV               1.40          47.04             0.10         -6.56        0.07
UV               1.40          46.84             0.10         -5.97        0.04
UV               1.40          46.64             0.10         -5.54        0.03
UV               1.40          46.45             0.10         -5.09        0.04
UV               1.40          46.25             0.10         -4.81        0.04
UV               1.40          46.05             0.10         -4.52        0.04
UV               1.40          45.86             0.10         -4.31        0.03
UV               1.40          45.66             0.10         -4.16        0.03
UV               1.40          45.47             0.10         -4.05        0.03
UV               1.40          45.28             0.10         -4.06        0.05
UV               1.40          45.08             0.10         -3.46        0.66
B_band           1.40          47.01             0.00         -6.05        0.17
B_band           1.40          46.91             0.05         -5.91        0.14
B_band           1.40          46.81             0.05         -5.52        0.10
B_band           1.40          46.71             0.05         -5.52        0.10
B_band           1.40          46.62             0.05         -5.29        0.09
B_band           1.40          46.52             0.05         -5.00        0.07
B_band           1.40          46.42             0.05         -4.90        0.07
B_band           1.40          46.32             0.05         -4.81        0.07
B_band           1.40          46.22             0.05         -4.65        0.06
B_band           1.40          46.13             0.05         -4.51        0.06
B_band           1.40          46.03             0.05         -4.48        0.05
B_band           1.40          45.93             0.05         -4.42        0.05
B_band           1.40          45.83             0.05         -4.25        0.05
B_band           1.40          45.74             0.05         -4.25        0.05
B_band           1.40          45.64             0.05         -4.28        0.07
B_band           1.40          45.54             0.05         -4.36        0.14
B_band           1.40          47.41             0.00         -7.19        0.14
B_band           1.40          47.29             0.06         -6.87        0.10
B_band           1.40          47.17             0.06         -6.73        0.09
B_band           1.40          47.06             0.06         -6.29        0.06
B_band           1.40          46.94             0.06         -5.97        0.05
B_band           1.40          46.82             0.06         -5.68        0.04
B_band           1.40          46.70             0.06         -5.39        0.03
B_band           1.40          46.58             0.06         -5.10        0.03
B_band           1.40          46.47             0.06         -4.98        0.03
B_band           1.40          46.35             0.06         -4.83        0.04
B_band           1.40          46.23             0.06         -4.42        0.33
B_band           1.40          44.97             0.00         -4.13        0.11
B_band           1.40          45.35             0.20         -4.05        0.11
B_band           1.40          45.74             0.20         -4.24        0.16
B_band           1.40          46.13             0.20         -4.65        0.18
B_band           1.40          46.52             0.20         -4.83        0.51
B_band           1.40          46.92             0.20         -5.65        1.01
hard_X_ray       1.40          43.57             0.00         -3.44        0.11
hard_X_ray       1.40          44.05             0.19         -3.59        0.11
hard_X_ray       1.40          44.33             0.11         -3.69        0.11
hard_X_ray       1.40          44.53             0.07         -3.57        0.08
hard_X_ray       1.40          44.69             0.06         -3.72        0.07
hard_X_ray       1.40          44.86             0.06         -3.74        0.06
hard_X_ray       1.40          45.02             0.06         -3.90        0.05
hard_X_ray       1.40          45.19             0.06         -3.91        0.05
hard_X_ray       1.40          45.35             0.06         -4.01        0.04
hard_X_ray       1.40          45.52             0.06         -4.11        0.04
hard_X_ray       1.40          45.69             0.06         -4.18        0.04
hard_X_ray       1.40          45.86             0.06         -4.37        0.04
hard_X_ray       1.40          46.03             0.06         -4.55        0.05
hard_X_ray       1.40          46.20             0.06         -4.64        0.05
hard_X_ray       1.40          46.36             0.06         -5.02        0.06
hard_X_ray       1.40          46.53             0.06         -5.23        0.07
hard_X_ray       1.40          46.83             0.11         -6.03        0.06
hard_X_ray       1.40          47.14             0.11         -6.88        0.20
hard_X_ray       1.40          47.35             0.08         -7.09        0.18
hard_X_ray       1.40          47.81             0.17         -8.65        0.26
hard_X_ray       1.40          48.32             0.19         -8.97        0.63
hard_X_ray       1.40          42.38             0.00         -2.45        0.31
hard_X_ray       1.40          42.68             0.12         -2.86        0.21
hard_X_ray       1.40          42.98             0.12         -3.11        0.15
hard_X_ray       1.40          43.29             0.12         -3.42        0.13
hard_X_ray       1.40          43.60             0.12         -3.59        0.11
hard_X_ray       1.40          43.91             0.12         -3.72        0.09
hard_X_ray       1.40          44.24             0.12         -3.71        0.07
hard_X_ray       1.40          44.56             0.12         -3.84        0.07
hard_X_ray       1.40          44.89             0.12         -3.92        0.07
hard_X_ray       1.40          45.22             0.12         -4.10        0.08
hard_X_ray       1.40          45.55             0.12         -4.24        0.08
hard_X_ray       1.40          45.89             0.12         -4.28        0.07
hard_X_ray       1.40          46.23             0.12         -4.85        0.08
hard_X_ray       1.40          46.57             0.12         -5.56        0.13
hard_X_ray       1.40          46.91             0.12         -6.33        0.23
hard_X_ray       1.40          47.25             0.12         -7.32        0.82
hard_X_ray       1.40          43.02             0.00         -3.20        0.38
hard_X_ray       1.40          43.96             0.38         -3.66        0.55
hard_X_ray       1.40          44.87             0.35         -3.87        0.60
hard_X_ray       1.40          45.47             0.23         -4.15        0.60
