# StellarMass   phi   phi_err 
8.3 -1.60970015512079 0.0297613775312869
8.5 -1.49923272206874 0.026207120918048
8.7 -1.60931565356234 0.0297482058654365
8.9 -1.69672212582565 0.0328975847479884
9.1 -1.80026271773272 0.0370624658330551
9.3 -1.86930249686918 0.0401286176952564
9.5 -1.92124249819397 0.0426014322842305
9.7 -2.0691080300253 0.0505076272276105
9.9 -2.16546444897254 0.05643326479831
10.1 -2.179520513437 0.0573539334676404
10.3 -2.31800182336065 0.0672672793996312
10.5 -2.25415413173391 0.0625
10.7 -2.31604112259512 0.0671156055214024
10.9 -2.53528929868095 0.086386842558136
11.1 -2.8700024075475 0.127000127000191
11.3 -3.24742074907494 0.196116135138184
11.5 -3.75930411005381 0.353553390593274
11.7 -4.18527284232609 0.577350269189626
