# StellarMass   phi   phi_err 
8.9 -1.9450103738962 0.0219053977169162
9.1 -1.91755511407305 0.0212238179989004
9.3 -2.05789221176034 0.0249454912916334
9.5 -2.16250473796835 0.0281383303941676
9.7 -2.28618448323484 0.0324442842261525
9.9 -2.35703455380161 0.0352016671904381
10.1 -2.43783328582286 0.0386333704643128
10.3 -2.49085339515942 0.0410650781176591
10.5 -2.52354539902944 0.0426401432711221
10.7 -2.57548826652097 0.0452678730212593
10.9 -2.71367973546859 0.0530744892434275
11.1 -2.91560322547552 0.0669649530182425
11.3 -3.38884682513198 0.115470053837925
11.5 -3.9628780928597 0.223606797749979
11.7 -4.66184809719572 0.5
