# StellarMass   phi   phi_err 
9.7 -3.23123914471594 0.0403238919272756
9.9 -2.56072177273213 0.0186338998124982
10.1 -2.66122805608549 0.0209197696327652
10.3 -2.73885357343635 0.0228754505435839
10.5 -2.81033124564285 0.0248375350267704
10.7 -2.88181156232508 0.0269679944985297
10.9 -3.02098371920399 0.0316544468916459
11.1 -3.26120236809339 0.0417391935564841
11.3 -3.55921641773481 0.0588235294117647
11.5 -4.20057032494949 0.123091490979333
11.7 -4.76484175538805 0.235702260395516
11.9 -5.5429930057717 0.577350269189626
