# StellarMass   phi   phi_err 
8.7 -1.9020189314698 0.025015639663713
8.9 -1.85250012059874 0.0236293735002779
9.1 -1.94723321435252 0.0263523138347365
9.3 -2.07016596826323 0.0303588370359458
9.5 -2.18599468266366 0.034689615656798
9.7 -2.255562448758 0.0375823014001414
9.9 -2.33992715168876 0.0414157683281291
10.1 -2.44758430979066 0.0468807230938495
10.3 -2.54449432279872 0.0524142418360959
10.5 -2.53388687463909 0.0517780373078498
10.7 -2.58184923963621 0.0547175655164583
10.9 -2.76713921284317 0.0677285461478596
11.1 -3.01923587577303 0.0905357460425185
11.3 -3.46214302996159 0.150755672288882
11.5 -4.02641446040015 0.288675134594813
11.7 -4.62847445172811 0.577350269189626
