# StellarMass   phi   phi_err 
7.7 -1.20754979042253 0.0558145572185948
7.9 -1.00478486185157 0.0441941738241592
8.1 -1.13541561285933 0.0513665496937514
8.3 -1.26534850292232 0.0596549986271894
8.5 -1.35232698680981 0.0659380473395787
8.7 -1.52372312465711 0.0803219328902499
8.9 -1.61368427770984 0.0890870806374748
9.1 -1.74092696922771 0.103142124625879
9.3 -1.77955637158384 0.107832773203438
9.5 -1.82196022013692 0.11322770341446
9.7 -1.98166106300444 0.136082763487954
9.9 -2.0908055324295 0.154303349962092
10.1 -2.15775232206012 0.166666666666667
10.3 -2.23693356810774 0.182574185835055
10.5 -2.31611481415537 0.2
10.7 -2.31611481415537 0.2
10.9 -2.50993484017148 0.25
11.1 -3.11199483149944 0.5
11.3 -3.11199483149944 0.5
11.5 -3.7140548228274 1
