# StellarMass   phi   phi_err 
8.1 -1.54690011775044 0.0352892336620293
8.3 -1.42182619219727 0.030556616567607
8.5 -1.55015734163301 0.0354218173487907
8.7 -1.65296501758385 0.039872611141445
8.9 -1.77037442565354 0.0456435464587638
9.1 -1.82017189401595 0.0483368244522832
9.3 -1.94646568470922 0.0559016994374947
9.5 -2.10136764469496 0.0668153104781061
9.7 -2.19634315792582 0.074535599249993
9.9 -2.25021853870867 0.0793051585718144
10.1 -2.23677181498142 0.078086880944303
10.3 -2.32451086466431 0.086386842558136
10.5 -2.40629268424247 0.0949157995752499
10.7 -2.47848780942942 0.103142124625879
10.9 -2.61276657229187 0.120385853085769
11.1 -2.89531316226183 0.166666666666667
11.3 -3.2474956803732 0.25
11.5 -3.97449440830946 0.577350269189626
11.7 -4.45161566302912 1
