# StellarMass   phi   phi_err 
9.3 -2.10075895026597 0.0172260240637389
9.5 -2.11040164811223 0.0174183253572904
9.7 -2.1898465023512 0.0190866111437956
9.9 -2.28360372850465 0.0212621627781281
10.1 -2.3326019108857 0.0224960635332924
10.3 -2.39134805975812 0.0240701947599548
10.5 -2.3794352356416 0.0237423220841631
10.7 -2.43526425278285 0.0253184841770917
10.9 -2.50946309831154 0.0275763716569867
11.1 -2.71883282189614 0.0350931203171798
11.3 -3.08805937634644 0.0536828127095019
11.5 -3.5990050734521 0.0966736489045664
11.7 -4.39793992975904 0.242535625036333
11.9 -5.62838885113731 1
