# StellarMass   phi   phi_err 
9.5 -4.36805144575783 0.171498585142509
9.7 -2.40301584410234 0.0178542964168829
9.9 -2.52404964818151 0.0205238883152145
10.1 -2.61487408001157 0.0227861975674888
10.3 -2.67396264936062 0.024390243902439
10.5 -2.73044400531306 0.0260289603147677
10.7 -2.78625567033574 0.0277563690826684
10.9 -2.86370053754726 0.0303448564517202
11.1 -3.05134124580869 0.0376621788577355
11.3 -3.46496145876589 0.0606339062590832
11.5 -3.91275862853384 0.101534616513362
11.7 -4.82034911675246 0.288675134594813
11.9 -5.89953036280009 1
