# StellarMass   phi   phi_err 
8.5 -1.68196769803182 0.0252780069582779
8.7 -1.63693231907382 0.024000768036866
8.9 -1.7291149321205 0.0266880256341812
9.1 -1.82610228365283 0.0298407766342227
9.3 -1.91269421256873 0.0329690236697893
9.5 -1.96479188116043 0.0350070021007002
9.7 -2.09978085592588 0.0408930410054765
9.9 -2.2584339432022 0.0490880693673816
10.1 -2.32870733452647 0.0532246295412349
10.3 -2.31538065626523 0.0524142418360959
10.5 -2.38232744589585 0.0566138517072298
10.7 -2.44351274903988 0.0607456739230787
10.9 -2.61403095018386 0.0739221270954573
11.1 -2.90335418631459 0.103142124625879
11.3 -3.320179539147 0.166666666666667
11.5 -3.87648203991429 0.316227766016838
11.9 -4.87648203991429 1
