# StellarMass   phi   phi_err 
7.9 -1.38714880871187 0.0460775677584091
8.1 -1.29301384975859 0.0413449115297361
8.3 -1.43692042544287 0.0487950036474267
8.5 -1.55774259585633 0.0560772154092044
8.7 -1.65192975052892 0.0625
8.9 -1.85065470129814 0.0785674201318386
9.1 -2.02674596035382 0.0962250448649376
9.3 -2.1156870436906 0.106600358177805
9.5 -2.35259953974283 0.140028008402801
9.7 -2.56880802200649 0.179605302026775
9.9 -2.50386721507348 0.166666666666667
10.1 -2.51610167149049 0.169030850945703
10.3 -2.66222970716873 0.2
10.5 -2.52869079879851 0.171498585142509
10.7 -2.78141611488794 0.229415733870562
10.9 -3.01877703068254 0.301511344577764
11.1 -3.36119971150475 0.447213595499958
11.3 -3.28201846545712 0.408248290463863
11.5 -4.06016971584077 1
