# Data points scanned in from Pakmor+2022, figure 2
# Stellar mass [Msun]    Phi [Mpc^-3 dex^-1]
133438968.91964175  0.012382318857411133
162372729.4397935  0.0111783483768078
200366084.901531  0.009963808718262836
243821151.01229343  0.009109519126532413
292575418.14840215  0.00843516220900286
361076487.7380632  0.007809521412040506
439403109.0009654  0.00723084253326119
527306451.9467943  0.006867137089784262
632843826.0979464  0.006688848472871885
826160656.4690015  0.006269641991785861
1019748063.0880069  0.006105923766997594
1312794940.6060922  0.0058703648237067195
1666492796.3784535  0.005644328851729045
2085991470.3988662  0.005427414969155305
2685239524.2425637  0.0050876580676869785
3505508241.746509  0.004768802102542314
4449459777.099371  0.004414416198013501
5647595424.896678  0.004086365915435064
7269433665.617351  0.0037348512840475454
9098282379.091013  0.0034575684965168245
11876189520.303185  0.0031201748862236343
14863435470.004442  0.002852213311562443
18602070436.254246  0.0026072643589859766
23611173749.700222  0.0024135096762927287
32147293302.48895  0.0022052157960883484
41382327683.61028  0.002067168992922201
53272388525.65466  0.001962435008774336
82272628559.38359  0.0015989912581433562
107338448686.6294  0.0012241280764412896
136152881018.451  0.000913872916232549
158768322976.08044  0.0007089718796081482
185125982712.49487  0.0005362698564485734
207012122723.2708  0.00044330146252594333
241341658611.68808  0.0003187688579963737
266090722960.9154  0.00025694273356346683
289298689492.36163  0.00020976098309920518
323450526974.5657  0.00016484008658698883
366662260046.628  0.00012006072869343003
409915277974.62805  0.00009199204474517196
445667370141.18207  0.00007509977602961463
491350641291.45795  0.00005977294885670826
541633118022.4228  0.00004522650922401117
588805272637.0063  0.00003554661067187411
631113119121.9259  0.000027242565415719444
705371394583.7627  0.00001910453209621148
788427894798.7618  0.000013740851164294217
