# StellarMass   phi   phi_err 
9.5 -2.27672169363033 0.0184114923579665
9.7 -2.36960195246174 0.0204893943608941
9.9 -2.48934528346915 0.0235180217095899
10.1 -2.57481725595526 0.0259499648053841
10.3 -2.67063194812572 0.0289763793899872
10.5 -2.68925806519028 0.0296044623208668
10.7 -2.71675423877664 0.030556616567607
10.9 -2.82226442354661 0.0345032779671177
11.1 -3.01254442307011 0.0429536779587558
11.3 -3.34514316882695 0.0629940788348712
11.5 -3.92046890690767 0.122169444356305
11.7 -4.90144566959424 0.377964473009227
