#ID 12+log(O/H)_PG16 12+log(O/H)_PG16_errdown 12+log(O/H)_PG16_errup md/mg md/mhi
NGC1427A 8.135000000000545 0.009000000000002117 0.00600000000000378 -3.36464799992539 -3.184180956051729
NGC1436 8.56100000000069 0.007000000000003226 0.0070000000000014495 -2.1658078361617052 -1.2993861288364978
NGC1437B -99.0 -99.0 -99.0 -2.548926090560939 -2.2917234329754352
NGC1482 -99.0 -99.0 -99.0 -2.316215045355773 -1.7792351211140343
NGC1510 8.34089861 0.21748869702431284 0.21748869702431284 -4.676777528943341 -4.520373727965825
NGC1512 8.557000000000688 0.016000000000005343 0.01700000000000479 -3.3239464412151745 -3.0521245928596965
NGC1566 8.588000000000697 0.016000000000005343 0.016000000000005343 -3.2688551546310594 -2.4727320120398986
NGC1569 7.854740585514982 0.11300000000003774 0.1120000000000374 -3.49910524231118 -3.357368337640436
NGC1705 8.089000000000532 0.014000000000006452 0.012000000000004007 -3.453723146385894 -3.214697290299451
NGC1800 8.24562949 -99.0 -99.0 -3.1936954653302028 -2.936547805640716
NGC1808 -99.0 -99.0 -99.0 -3.7671819356186003 -2.1188573224717504
NGC1924 -99.0 -99.0 -99.0 -2.7287691153949942 -2.37433849138772
NGC2146 -99.0 -99.0 -99.0 -2.718619285611584 -2.3268274243276723
NGC2273 -99.0 -99.0 -99.0 -2.758718826653863 -2.3139082269009186
NGC2403 8.297000000000601 0.025000000000009237 0.026000000000006906 -2.922434315737083 -2.761170678050817
NGC2577 -99.0 -99.0 -99.0 -4.034376971862117 -2.5727227502522214
NGC2655 -99.0 -99.0 -99.0 -3.0507175290286734 -2.358152181442334
NGC2764 -99.0 -99.0 -99.0 -2.4877900969593574 -2.121849621151373
NGC2768 -99.0 -99.0 -99.0 -4.377400278706807 -2.245967020635842
NGC2787 -99.0 -99.0 -99.0 -4.762672316951701 -3.950454196802928
NGC2798 -99.0 -99.0 -99.0 -2.953173178021907 -2.3458315030862615
NGC2841 8.695000000000732 0.03600000000001202 0.03500000000001258 -2.8694553462935373 -2.3669188260216516
NGC2853 8.51100000000067 0.06800000000002271 0.06600000000002382 -2.1125080142133483 -1.519206865312608
NGC2859 -99.0 -99.0 -99.0 -2.9454100301551285 -1.811141065562191
NGC2907 -99.0 -99.0 -99.0 -3.0660402387405634 -2.2128362157208135
NGC2915 8.120836131010153 0.008000000000002672 0.009000000000003894 -4.190369155541086 -4.0035137927775395
NGC2976 8.390000000000631 0.027000000000009905 0.027000000000009905 -2.3114338220360677 -2.1302198794615648
NGC2992 -99.0 -99.0 -99.0 -2.913054895537581 -2.6791240518193358
NGC2993 -99.0 -99.0 -99.0 -3.4385726605773197 -3.2761589486145133
NGC3031 8.550000000000685 0.019000000000007233 0.021000000000006125 -2.68507012304667 -2.5314956140816443
NGC3034 -99.0 -99.0 -99.0 -3.1180581846953834 -2.0844142619541604
NGC3049 8.552000000000685 0.06300000000002015 0.062000000000020705 -3.1391189228124134 -2.4759781004769654
NGC3073 -99.0 -99.0 -99.0 -3.049867332005889 -2.589468226147163
NGC3077 8.41800000000064 0.062000000000020705 0.06300000000002193 -3.285447292109979 -3.1373086089551347
NGC3079 -99.0 -99.0 -99.0 -2.9177009353910806 -2.2635095898288045
NGC3081 -99.0 -99.0 -99.0 -2.95618687477653 -2.5871924643790956
NGC3147 -99.0 -99.0 -99.0 -2.2734544140366735 -1.783822722716635
NGC3155 -99.0 -99.0 -99.0 -2.8137924340633993 -2.5955587340485464
NGC3182 8.586000000000697 0.07900000000002727 0.07900000000002727 -2.7697337754059563 -2.3690683955417717
NGC3184 8.547000000000683 0.010000000000001563 0.008000000000002672 -2.5886444535583437 -2.339992891709769
NGC3185 -99.0 -99.0 -99.0 -2.342976762004665 -1.8713856545128944
NGC3187 8.439000000000647 0.06500000000002082 0.06600000000002382 -2.517725634526164 -2.2836378884683466
NGC3190 -99.0 -99.0 -99.0 -2.6256729525868283 -1.6536434301072915
NGC3193 -99.0 -99.0 -99.0 -4.696052639133247 -3.385113939483578
NGC3198 8.50600000000067 0.02500000000000746 0.027000000000009905 -2.9376147057607027 -2.7927940694609505
NGC3245A 8.23300000000058 0.07200000000002404 0.07300000000002349 -2.5906934951247362 -2.3473498263998978
NGC3252 -99.0 -99.0 -99.0 -2.6430758955927494 -2.3448274367054593
NGC3254 -99.0 -99.0 -99.0 -2.792537349288152 -2.516602774056469
NGC3256 8.526000000000677 0.02500000000000746 0.027000000000009905 -2.3998500995087872 -2.117884087064905
NGC3277 -99.0 -99.0 -99.0 -2.6810840834842833 -2.203160925804222
NGC3287 8.415000000000639 0.029000000000008797 0.030000000000011795 -2.399213319054141 -2.0920661027247527
NGC3294 8.57100000000069 0.02700000000000813 0.02800000000000935 -2.3709215752080897 -2.0427315695362434
NGC3301 -99.0 -99.0 -99.0 -3.7803890905466533 -2.5684734423535938
NGC3338 8.5980000000007 0.05300000000001681 0.054000000000018034 -2.945605030849498 -2.666801374703961
NGC3346 8.480000000000661 0.06600000000002204 0.06600000000002204 -2.374531294240647 -2.1484319577269355
NGC3351 8.65400000000072 0.01800000000000601 0.02000000000000668 -2.650428379951425 -2.200621170822008
NGC3353 8.216201522379247 0.02000000000000668 0.019000000000005457 -3.167123853471891 -2.9611188123484222
NGC3364 -99.0 -99.0 -99.0 -2.7708435392715636 -2.471896028245833
NGC3370 8.47800000000066 0.022000000000007347 0.021000000000006125 -2.8270032525925224 -2.4853776070684406
NGC3380 -99.0 -99.0 -99.0 -2.6320907113718026 -2.0311553695388116
NGC3381 8.427000000000643 0.009000000000002117 0.011000000000004562 -2.815328987373408 -2.593044762232243
NGC3403 -99.0 -99.0 -99.0 -2.906458414145508 -2.678999763931972
NGC3413 8.124000000000542 0.06600000000002204 0.06700000000002149 -2.895304772539129 -2.6950335991767864
NGC3414 -99.0 -99.0 -99.0 -3.593678756338268 -2.23781758745358
NGC3424 -99.0 -99.0 -99.0 -2.5684382207799734 -2.229810996730491
NGC3430 8.548000000000684 0.0210000000000079 0.0210000000000079 -2.7741925523393434 -2.522243565269498
NGC3437 8.585000000000697 0.06400000000002137 0.06400000000002137 -2.765742303832526 -2.377310077163444
NGC3440 7.995000000000499 0.026000000000008683 0.027000000000009017 -3.2420640322566348 -3.068466122585376
NGC3445 8.262000000000588 0.044000000000014694 0.04300000000001525 -3.0685557497691933 -2.9150709097571803
NGC3448 8.23341146 -99.0 -99.0 -3.1364680726224083 -2.948645705990695
NGC3454 8.400000000000635 0.06100000000002126 0.06000000000002004 -2.414532874192436 -2.073469553952262
NGC3455 -99.0 -99.0 -99.0 -2.7560993373467912 -2.5616491699503663
NGC3485 8.51100000000067 0.023000000000006793 0.02300000000000857 -2.9270435590265667 -2.664544036505969
NGC3488 8.509000000000672 0.03400000000001313 0.03600000000001202 -2.654456834239007 -2.383523329449195
NGC3501 -99.0 -99.0 -99.0 -2.5078190664621003 -2.2916457754668746
NGC3504 8.62600000000071 0.02300000000000857 0.022000000000007347 -2.4960115250227175 -1.7193490615637685
NGC3512 8.588000000000697 0.01000000000000334 0.008000000000002672 -2.731318437169183 -2.302698507232946
NGC3521 8.604000000000703 0.026000000000008683 0.02700000000000813 -2.6786198216907984 -2.39261265383399
NGC3526 8.2206154 -99.0 -99.0 -2.7091348011935885 -2.511059924491081
NGC3547 8.355000000000619 0.038000000000010914 0.0420000000000158 -2.824358411018349 -2.588934770194938
NGC3564 -99.0 -99.0 -99.0 -4.806574875733604 -4.2054509221094305
NGC3592 8.393000000000633 0.06700000000002326 0.06500000000002082 -2.3985322371299107 -2.0329800269857143
NGC3596 8.521000000000676 0.050000000000018474 0.05000000000001492 -2.569194809038332 -2.3041587253035196
NGC3608 -99.0 -99.0 -99.0 -3.7795955012381426 -1.898466814281933
NGC3619 8.502000000000669 0.015000000000005898 0.01700000000000479 -2.6682955497504937 -1.9838181284157104
NGC3620 -99.0 -99.0 -99.0 -2.3114927967060765 -1.4732876803506343
NGC3621 8.428000000000644 0.0350000000000108 0.03300000000001191 -3.093611732479819 -2.827803545613933
NGC3622 8.256000000000586 0.0650000000000226 0.06600000000002204 -2.83479486087124 -2.6177810942193664
NGC3626 -99.0 -99.0 -99.0 -3.0728979377711663 -2.4187540405896852
NGC3627 8.524000000000676 0.044000000000014694 0.04300000000001347 -2.511843840322309 -1.683527588943638
NGC3628 8.512000000000672 0.04100000000001458 0.04000000000001336 -2.8918716606944463 -2.4294344995222206
NGC3629 8.31497449 -99.0 -99.0 -2.7652925940426787 -2.5695937559983473
NGC3631 8.529000000000678 0.019000000000007233 0.02000000000000668 -2.639328472910251 -2.295121109696039
NGC3655 -99.0 -99.0 -99.0 -2.3286167525840162 -2.144345857359801
NGC3659 8.407000000000636 0.039000000000012136 0.04000000000001336 -2.9294784103576066 -2.73913312332389
NGC3666 8.309000000000605 0.07800000000002782 0.07800000000002427 -2.8319140068065636 -2.691452507046064
NGC3681 -99.0 -99.0 -99.0 -2.760457281491924 -2.6007118268933564
NGC3683 8.563000000000688 0.031000000000009464 0.03200000000001069 -2.6329724678733823 -1.9072639262456432
NGC3684 8.518000000000674 0.02000000000000668 0.021000000000006125 -2.8448089088622006 -2.5613764474986596
NGC3686 8.583000000000695 0.026000000000006906 0.02600000000001046 -2.433160754366098 -2.0515251903863563
NGC3691 8.393252 -99.0 -99.0 -2.507194039188642 -2.171307845671564
NGC3692 -99.0 -99.0 -99.0 -2.601170229851826 -2.214284979742197
NGC3718 -99.0 -99.0 -99.0 -2.7864329643643515 -2.427978007158689
NGC3729 8.59069236 -99.0 -99.0 -3.1961823297130856 -2.8978201472825207
NGC3755 8.152000000000552 0.11100000000003618 0.11400000000003807 -3.116296844894166 -2.9361252594419414
NGC3756 8.551000000000684 0.041000000000012804 0.04000000000001336 -2.5457850462876572 -2.2398300892850163
NGC3773 8.318000000000607 0.0560000000000187 0.06000000000002004 -2.939741768038264 -2.6253748649050497
NGC3794 8.28794496 -99.0 -99.0 -3.0035512644348796 -2.7984207554851612
NGC3795 8.27239127 -99.0 -99.0 -2.5291981900590907 -2.2512512095058583
NGC3796 -99.0 -99.0 -99.0 -2.8851192527507488 -1.9955932040486277
NGC3813 8.51100000000067 0.02200000000000557 0.022000000000009123 -2.7401819809493495 -2.2883021176638754
NGC3846A 8.20800000000057 0.07200000000002404 0.07500000000002416 -2.855986897010265 -2.635754060370957
NGC3870 8.250000000000584 0.06500000000002082 0.06600000000002204 -3.1310340550638016 -2.889951641095338
NGC3898 -99.0 -99.0 -99.0 -2.896303630270236 -2.444176227127103
NGC3938 8.549000000000685 0.03100000000001124 0.02700000000000813 -2.761411985581176 -2.4219018424465477
NGC3941 -99.0 -99.0 -99.0 -3.5783213958381475 -2.8424460914241254
NGC3945 -99.0 -99.0 -99.0 -2.810018200472811 -1.6787949818269645
NGC3952 8.20896332 -99.0 -99.0 -3.4571933425176513 -3.2558284784372993
NGC3953 -99.0 -99.0 -99.0 -2.0863411564255165 -1.7592372543337331
NGC3982 8.498000000000667 0.044000000000014694 0.04600000000001536 -2.7759484401984147 -2.4632677227176942
NGC4013 -99.0 -99.0 -99.0 -2.6994547339900583 -2.2297715905962634
NGC4030 8.591000000000697 0.008000000000002672 0.010000000000005116 -2.5614035804337645 -2.293606511138933
NGC4032 8.304000000000602 0.06600000000002204 0.06600000000002204 -2.8616104586627973 -2.6379563866743787
NGC4037 8.497000000000668 0.06600000000002382 0.06400000000002137 -2.2806470220386124 -1.8338661709094135
NGC4045 -99.0 -99.0 -99.0 -2.9095501115451587 -2.393282963346838
NGC4051 8.531000000000677 0.02800000000000935 0.027000000000009905 -2.6566188031870017 -2.2038725923637337
NGC4067 -99.0 -99.0 -99.0 -2.6882963183893285 -2.29477236109525
NGC4100 8.520000000000675 0.06400000000002137 0.06400000000002137 -2.728247170981676 -2.3522903899410528
NGC4102 -99.0 -99.0 -99.0 -2.496889558203835 -1.9033114343919708
NGC4111 -99.0 -99.0 -99.0 -3.6916347192117773 -2.956125648892013
NGC4116 8.407000000000636 0.0350000000000108 0.03500000000001258 -3.1904986028077937 -2.371326464809415
NGC4117 -99.0 -99.0 -99.0 -3.0875068833781354 -2.5661994570164195
NGC4123 8.617000000000708 0.06600000000002382 0.06500000000002082 -2.738851251564966 -2.560330122989885
NGC4138 8.531000000000677 0.03200000000001069 0.030000000000011795 -2.8135586231333707 -2.299903226881307
NGC4144 8.144000000000549 0.057000000000019924 0.05800000000001937 -2.912538737235086 -2.757220640202654
NGC4151 -99.0 -99.0 -99.0 -2.8532411553093553 -2.6442110553256977
NGC4152 8.551000000000684 0.029000000000008797 0.03100000000001124 -3.2508355637600412 -2.6452158542959356
NGC4165 8.460000000000655 0.06600000000002204 0.06700000000002149 -2.3675778529612126 -1.8674509587176575
NGC4178 8.35300000000062 0.03100000000001124 0.030000000000008242 -2.710469468799695 -2.5600695588020566
NGC4180 8.563000000000688 0.026000000000006906 0.025000000000009237 -2.5299060721962863 -1.9048389302442377
NGC4183 8.341000000000616 0.06400000000002137 0.06700000000002149 -2.7416941792505805 -2.539883108460354
NGC4189 8.50700000000067 0.024000000000008015 0.024000000000008015 -2.4911164494041054 -2.1270153581544444
NGC4191 8.512000000000672 0.02800000000000935 0.03000000000001002 -3.4451232143996107 -2.998524517333954
NGC4192 -99.0 -99.0 -99.0 -2.5206197595531097 -2.2329560309193286
NGC4193 8.556000000000687 0.06600000000002204 0.06600000000002204 -2.480082070789961 -2.0529736468081943
NGC4194 8.47800000000066 0.06100000000001948 0.06000000000002004 -2.901839692898677 -2.5864092668462138
NGC4197 8.393000000000633 0.045000000000015916 0.04700000000001481 -2.8852704234758955 -2.667057402052468
NGC4203 -99.0 -99.0 -99.0 -3.2000386243830303 -2.5112524726595886
NGC4206 -99.0 -99.0 -99.0 -2.6506224020784437 -2.4859723141173213
NGC4207 8.44500000000065 0.06700000000002326 0.06600000000002026 -2.635766920954225 -2.252536479028261
NGC4212 8.532000000000679 0.024000000000008015 0.024000000000008015 -2.603662549151814 -1.937922158391448
NGC4214 8.076701662761861 0.04000000000001336 0.044000000000014694 -2.937423882708318 -2.8019376460507295
NGC4216 8.605000000000704 0.0210000000000079 0.02200000000000557 -2.0698354189051384 -1.8507049212221196
NGC4217 8.53900000000068 0.030000000000008242 0.030000000000011795 -1.7698546501764556 -1.4047961355622622
NGC4222 8.39316146 -99.0 -99.0 -2.5779500026284574 -2.32205154182228
NGC4224 -99.0 -99.0 -99.0 -2.775228725774495 -1.9227903454328563
NGC4234 8.456000000000653 0.029000000000010573 0.02700000000000813 -2.5098360007666476 -2.2231960301822427
NGC4235 8.080000000000528 0.29000000000009685 0.2980000000000995 -3.4010610785788056 -2.86435312728626
NGC4236 8.083000000000528 0.13100000000004286 0.13100000000004464 -3.258245624576563 -3.092663973478986
NGC4237 -99.0 -99.0 -99.0 -2.0418794993963867 -1.587620259914119
NGC4244 8.110000000000538 0.03200000000001069 0.04300000000001525 -2.973276929882332 -2.820447617128825
NGC4252 8.214000000000572 0.0710000000000246 0.06900000000002215 -2.954449843710633 -2.7082727584457578
NGC4254 8.554000000000686 0.02000000000000668 0.021000000000006125 -2.6591201911919295 -2.192893205191288
NGC4258 8.512000000000672 0.02800000000000935 0.026000000000008683 -2.7181804921331 -2.3350030714421117
NGC4268 -99.0 -99.0 -99.0 -4.669083489827454 -4.182787377672714
NGC4270 -99.0 -99.0 -99.0 -4.014678051608689 -3.1426767338149526
NGC4273 8.51100000000067 0.05800000000001759 0.05900000000002059 -2.7038714318922166 -2.223794717172184
NGC4276 8.454000000000653 0.06400000000002137 0.06400000000002137 -2.590595811424502 -2.3009735595936753
NGC4287 -99.0 -99.0 -99.0 -2.362967890523716 -1.8853953179296532
NGC4289 -99.0 -99.0 -99.0 -2.878958434349051 -2.5620580097547543
NGC4294 8.213000000000573 0.04100000000001458 0.04200000000001225 -2.905962657082714 -2.702456697348537
NGC4299 8.264000000000589 0.029000000000010573 0.02800000000000935 -3.038031389653254 -2.8942740338930126
NGC4302 8.542000000000682 0.0850000000000275 0.08200000000002738 -2.3611454411778654 -2.042945328948977
NGC4303A 8.149000000000552 0.0710000000000246 0.07200000000002404 -3.0552516149751536 -2.884083367794776
NGC4307 -99.0 -99.0 -99.0 -2.125060908904565 -1.2301814401295097
NGC4309 -99.0 -99.0 -99.0 -2.307821153315014 -1.287394347463935
NGC4312 8.47400000000066 0.06700000000002326 0.06600000000002204 -2.8203350168939583 -1.6939269405241921
NGC4313 -99.0 -99.0 -99.0 -2.223769710053136 -1.3802092999762192
NGC4316 -99.0 -99.0 -99.0 -2.3817814541060818 -2.141154781210396
NGC4321 8.557000000000688 0.011000000000004562 0.013000000000003453 -2.543350316243132 -1.9301835655521786
NGC4322 -99.0 -99.0 -99.0 -5.221517732547264 -5.040668156888092
NGC4324 -99.0 -99.0 -99.0 -2.886263406405455 -2.288471014975204
NGC4330 8.434000000000646 0.07700000000002483 0.07600000000002538 -2.3845507811293083 -2.0134312604814815
NGC4343 -99.0 -99.0 -99.0 -2.4909986501393067 -1.913902891020339
NGC4351 8.390000000000631 0.062000000000020705 0.06400000000002137 -2.6845155375040446 -2.326059352467054
NGC4353 -99.0 -99.0 -99.0 -2.5267077456077573 -2.0469004872396215
NGC4355 -99.0 -99.0 -99.0 -2.6223325142408584 -1.94503078411403
NGC4356 -99.0 -99.0 -99.0 -2.329434775257761 -1.4910126926751526
NGC4359 8.26500000000059 0.06600000000002382 0.06500000000002082 -2.692239713054477 -2.480667251272921
NGC4370 -99.0 -99.0 -99.0 -2.5650535339638476 -1.5030795525942935
NGC4376 8.214000000000572 0.06100000000001948 0.06000000000002004 -2.8665177232776373 -2.6174513484213606
