# logM* log10_ridge log10_mean log10_median log10_q84 log10_q16
8.600,nan,nan,nan,nan,nan
8.614,nan,nan,nan,nan,nan
8.627,nan,nan,nan,nan,nan
8.641,nan,nan,nan,nan,nan
8.654,nan,nan,nan,nan,nan
8.668,nan,nan,nan,nan,nan
8.681,nan,nan,nan,nan,nan
8.695,nan,nan,nan,nan,nan
8.709,nan,nan,nan,nan,nan
8.722,nan,nan,nan,nan,nan
8.736,nan,nan,nan,nan,nan
8.749,nan,nan,nan,nan,nan
8.763,nan,nan,nan,nan,nan
8.776,nan,nan,nan,nan,nan
8.790,nan,nan,nan,nan,nan
8.804,nan,nan,nan,nan,nan
8.817,nan,nan,nan,nan,nan
8.831,nan,nan,nan,nan,nan
8.844,nan,nan,nan,nan,nan
8.858,nan,nan,nan,nan,nan
8.871,nan,nan,nan,nan,nan
8.885,nan,nan,nan,nan,nan
8.898,nan,nan,nan,nan,nan
8.912,nan,nan,nan,nan,nan
8.926,nan,nan,nan,nan,nan
8.939,nan,nan,nan,nan,nan
8.953,nan,nan,nan,nan,nan
8.966,nan,nan,nan,nan,nan
8.980,nan,nan,nan,nan,nan
8.993,nan,nan,nan,nan,nan
9.007,nan,nan,nan,nan,nan
9.021,nan,nan,nan,nan,nan
9.034,nan,nan,nan,nan,nan
9.048,nan,nan,nan,nan,nan
9.061,nan,nan,nan,nan,nan
9.075,-0.152,0.038,-0.166,0.244,-0.614
9.088,-0.144,0.044,-0.159,0.249,-0.605
9.102,-0.136,0.051,-0.151,0.255,-0.595
9.116,-0.127,0.057,-0.144,0.261,-0.585
9.129,-0.118,0.064,-0.135,0.267,-0.575
9.143,-0.109,0.071,-0.127,0.274,-0.565
9.156,-0.100,0.078,-0.119,0.280,-0.554
9.170,-0.091,0.086,-0.110,0.287,-0.544
9.183,-0.081,0.094,-0.101,0.294,-0.533
9.197,-0.071,0.102,-0.091,0.302,-0.522
9.211,-0.061,0.110,-0.082,0.309,-0.510
9.224,-0.050,0.119,-0.072,0.317,-0.499
9.238,-0.040,0.127,-0.062,0.325,-0.487
9.251,-0.029,0.136,-0.052,0.333,-0.476
9.265,-0.018,0.145,-0.041,0.341,-0.464
9.278,-0.007,0.154,-0.031,0.350,-0.452
9.292,0.004,0.163,-0.020,0.358,-0.440
9.306,0.015,0.173,-0.010,0.367,-0.428
9.319,0.026,0.182,0.001,0.376,-0.416
9.333,0.037,0.192,0.012,0.385,-0.403
9.346,0.048,0.201,0.023,0.394,-0.391
9.360,0.059,0.211,0.034,0.404,-0.379
9.373,0.069,0.221,0.045,0.413,-0.367
9.387,0.080,0.231,0.056,0.423,-0.354
9.401,0.090,0.241,0.067,0.432,-0.342
9.414,0.100,0.252,0.078,0.442,-0.330
9.428,0.110,0.262,0.089,0.452,-0.317
9.441,0.119,0.273,0.100,0.462,-0.305
9.455,0.129,0.283,0.112,0.473,-0.293
9.468,0.139,0.294,0.123,0.483,-0.280
9.482,0.148,0.305,0.134,0.494,-0.268
9.495,0.157,0.316,0.145,0.504,-0.255
9.509,0.167,0.327,0.156,0.515,-0.243
9.523,0.176,0.338,0.167,0.526,-0.231
9.536,0.185,0.349,0.178,0.537,-0.219
9.550,0.195,0.360,0.190,0.548,-0.206
9.563,0.204,0.371,0.201,0.559,-0.194
9.577,0.214,0.383,0.212,0.570,-0.182
9.590,0.224,0.394,0.223,0.581,-0.170
9.604,0.234,0.405,0.234,0.593,-0.159
9.618,0.245,0.417,0.246,0.604,-0.147
9.631,0.255,0.428,0.257,0.615,-0.135
9.645,0.266,0.439,0.268,0.627,-0.124
9.658,0.277,0.451,0.280,0.638,-0.113
9.672,0.289,0.462,0.291,0.650,-0.102
9.685,0.300,0.473,0.303,0.661,-0.091
9.699,0.312,0.484,0.314,0.673,-0.080
9.713,0.324,0.496,0.326,0.684,-0.070
9.726,0.337,0.507,0.338,0.696,-0.060
9.740,0.349,0.519,0.349,0.707,-0.050
9.753,0.362,0.530,0.361,0.719,-0.040
9.767,0.375,0.541,0.373,0.731,-0.031
9.780,0.388,0.553,0.385,0.743,-0.021
9.794,0.402,0.564,0.397,0.755,-0.013
9.808,0.415,0.575,0.409,0.767,-0.004
9.821,0.429,0.587,0.420,0.779,0.004
9.835,0.442,0.598,0.432,0.791,0.011
9.848,0.456,0.609,0.444,0.803,0.019
9.862,0.470,0.620,0.456,0.815,0.025
9.875,0.484,0.632,0.468,0.827,0.032
9.889,0.498,0.643,0.480,0.839,0.037
9.903,0.512,0.654,0.492,0.851,0.042
9.916,0.526,0.665,0.503,0.863,0.047
9.930,0.540,0.676,0.515,0.875,0.050
9.943,0.554,0.687,0.526,0.887,0.053
9.957,0.568,0.697,0.537,0.898,0.055
9.970,0.581,0.708,0.548,0.910,0.055
9.984,0.595,0.718,0.559,0.922,0.055
9.997,0.609,0.729,0.570,0.934,0.054
10.011,0.622,0.739,0.581,0.945,0.051
10.025,0.636,0.749,0.591,0.957,0.047
10.038,0.649,0.758,0.601,0.968,0.041
10.052,0.663,0.768,0.611,0.979,0.034
10.065,0.676,0.778,0.621,0.991,0.026
10.079,0.690,0.787,0.631,1.002,0.016
10.092,0.703,0.796,0.640,1.013,0.004
10.106,0.716,0.805,0.649,1.023,-0.009
10.120,0.729,0.814,0.658,1.034,-0.024
10.133,0.743,0.822,0.667,1.045,-0.041
10.147,0.756,0.831,0.675,1.055,-0.059
10.160,0.770,0.839,0.683,1.065,-0.078
10.174,0.783,0.847,0.691,1.075,-0.099
10.187,0.796,0.855,0.699,1.085,-0.122
