# From source file of arXiv:2310.07709v1 (Konstantopoulou et al 2023)
# GRB DLAs
# ID | z$_{\rm abs}$ | log N(\ion{H}{I})| log N(\ion{H}{2}) | [Zn/Fe] | DTM | DTG | DTM$_{\rm N}$ | $A_{V, \rm depl}$ | [M/H]$_{\rm tot}$ | Ref
150403A & 2.0571  & 21.73$\pm$0.02 & 19.90$\pm$0.14  & 0.63$\pm$0.08  & 0.29$\pm$0.04   & 4.80e-04$\pm$8.00e-05 & 0.23$\pm$0.04 & 0.19$\pm$0.08 & -0.92$\pm$0.05 & *,1 \\
151021A & 2.3297  & 22.14$\pm$0.03 & 18.99$\pm$1.28 & 0.86$\pm$0.08  & 0.35$\pm$0.05   & 5.20e-04$\pm$1.10e-04 & 0.28$\pm$0.06 & 0.53$\pm$1.02 & -0.97$\pm$0.07 & *,1 \\
151027B & 4.0650   & 20.54$\pm$0.07 & ...            & 0.49$\pm$0.64  & 0.24$\pm$0.12   & 8.70e-04$\pm$6.80e-04 & 0.19$\pm$0.12 & 0.02$\pm$0.02 & -0.59$\pm$0.27 & *,1 \\
160203A & 3.5187  & 21.74$\pm$0.02 & ...            & 0.62$\pm$0.05  & 0.28$\pm$0.03   & 4.60e-04$\pm$7.00e-05 & 0.22$\pm$0.04 & 0.18$\pm$0.07 & -0.92$\pm$0.04 & *,1 \\
161023A & 2.7100    & 20.95$\pm$0.01 & ...            & 0.44$\pm$0.04  & 0.22$\pm$0.02   & 2.80e-04$\pm$4.00e-05 & 0.17$\pm$0.03 & 0.02$\pm$0.01 & -1.05$\pm$0.04 & *,1 \\
170202A & 3.6456  & 21.53$\pm$0.04 & ...            & 0.75$\pm$0.23  & 0.32$\pm$0.05   & 4.20e-04$\pm$1.40e-04 & 0.26$\pm$0.06 & 0.11$\pm$0.05 & -1.02$\pm$0.13 & *,1 \\
181020A & 2.9379  & 22.24$\pm$0.03 & ...            & 0.75$\pm$0.14  & 0.32$\pm$0.04   & 2.80e-04$\pm$6.00e-05 & 0.26$\pm$0.06 & 0.36$\pm$0.16 & -1.20$\pm$0.08  & *,1 \\
190114A & 3.3764  & 22.19$\pm$0.05 & ...            & 1.05$\pm$0.08  & 0.39$\pm$0.05   & 3.60e-04$\pm$7.00e-05 & 0.32$\pm$0.06 & 0.43$\pm$0.18 & -1.17$\pm$0.06 & *,1 \\
190106A & 1.8599  & 21.00$\pm$0.04  & ...            & 1.12$\pm$0.10   & 0.40$\pm$0.05    & 2.19e-03$\pm$5.80e-04 & 0.33$\pm$0.06 & 0.17$\pm$0.08 & -0.40$\pm$0.10   & *,1 \\
190919B & 3.2241 & 21.75$\pm$0.06 & ...            & 0.33$\pm$0.33  & 0.18$\pm$0.07   & 1.40e-04$\pm$7.00e-05 & 0.14$\pm$0.07 & 0.05$\pm$0.04 & -1.25$\pm$0.15 & *,1 \\
191011A & 1.7204 & 21.65$\pm$0.08 & ...            & 0.33$\pm$0.09  & 0.18$\pm$0.02   & 6.00e-04$\pm$1.20e-04 & 0.14$\pm$0.03 & 0.18$\pm$0.08 & -0.63$\pm$0.07 & *,1 \\
210905A & 6.3118  & 21.00$\pm$0.02  & ...            & 0.33$\pm$0.09  & 0.18$\pm$0.02   & 5.00e-05$\pm$2.00e-05 & 0.14$\pm$0.03 & ...           & -1.72$\pm$0.13 & *,1 \\
