logM logSFR
7.193834655732439 -20.0
7.176052054380191 -20.0
7.279896714227275 -20.0
7.342804172930313 -20.0
7.285961776722218 -20.0
7.332287278067587 -20.0
7.235316050737981 -20.0
7.271071841405436 -20.0
7.358491455997875 -20.0
7.382528143589711 -20.0
7.3603053830688605 -20.0
7.370453841228689 -20.0
7.240298479948028 -20.0
7.411728989215179 -20.0
7.446884358587197 -20.0
7.417585138276917 -4.36311277851155
7.391105861607764 -20.0
7.434751456212563 -20.0
7.542409082773089 -2.9579548972232192
7.430420485853075 -20.0
7.424607765566863 -20.0
7.297826423182399 -20.0
7.3780104105654045 -20.0
7.329286458788997 -20.0
7.350027187698874 -20.0
7.3504983404759505 -5.13973369737572
7.406686261319803 -2.5857918742322776
7.375882011651689 -2.306502116796497
7.436137233439615 -3.1143867296284076
7.504370165576224 -2.977983711730604
7.570454716838746 -20.0
7.585200647953129 -20.0
7.445670971084456 -20.0
7.447024653921562 -3.3813916832435456
7.330475630320665 -20.0
7.3006013712180104 -20.0
7.484103324307919 -20.0
7.493913159101031 -20.0
7.5049459525503055 -3.1692678373439134
7.612612323365098 -1.721000750818787
7.598069690148689 -2.2203352039221755
7.6503292850194775 -2.371750011831789
7.671676445232399 -2.5154460504488876
7.67346924627301 -3.0623003597150924
7.640548629980839 -2.7096510883818095
7.5737623759494905 -20.0
7.497262217839414 -20.0
7.474273123023645 -20.0
7.305024589449435 -20.0
7.448622586594106 -20.0
7.542732138886063 -2.636859701752568
7.652696304215514 -1.9328722540008176
7.630827086822038 -2.3020436695367015
7.750336584822485 -2.5115489054011566
7.749457454734194 -2.0069731471923427
7.7992697368418 -2.036171353933598
7.744835675168726 -1.8043722595171927
7.759042622011404 -3.0766072424258444
7.61970462098133 -3.730973657631977
7.53523895356418 -20.0
7.470711684559321 -20.0
7.406068337413657 -20.0
7.241403528739476 -20.0
7.264969499562792 -20.0
7.4250916138365435 -3.107032611418461
7.453629249768372 -2.3954633501236766
7.535479901676826 -2.0614844844569054
7.619950281885985 -2.08424844464046
7.734332128985717 -2.0851566383467364
7.796328697784528 -2.2000622815596325
7.920854410469569 -1.785407982447903
7.934827855093536 -1.66157600858291
7.906516652245013 -3.3010456989942063
7.718514769443043 -20.0
7.634859415547649 -20.0
7.537674102042303 -20.0
7.47785523436434 -20.0
7.3458205603684155 -20.0
7.397945810159201 -20.0
7.437545727095198 -4.123696032505961
7.571697001303159 -2.8216391716480254
7.565867625498345 -2.6441612312072365
7.830772097296259 -3.4082392055934747
7.763556442098458 -2.909533097137542
7.90075888767846 -2.6396390401938015
7.982620753684849 -2.4859671112596087
7.97947961023871 -2.5553694216683995
7.994268228874505 -2.697110019119999
7.870254045079074 -2.2922115498219098
7.774889542487701 -2.7119087918731632
7.626268572211594 -3.734797847185588
7.509642915011261 -20.0
7.210799431677834 -20.0
7.391290275644671 -20.0
7.416334211633816 -3.429376383438515
7.601351096921691 -3.008797786395762
7.6654560675406005 -2.9681954879200387
7.753382784744272 -2.7673885358493067
7.871229576444754 -2.555425470578928
7.9281212951205715 -2.6813403894128567
7.978434128841315 -2.687251338376184
7.995178461351438 -2.376494848682085
7.99264295520567 -2.3167260603091284
7.979617826122283 -1.8529829026736089
7.824039674715104 -2.2818283761268883
7.70402231963747 -3.358079941795732
7.539514181638465 -20.0
7.2720989963045 -20.0
7.401074799790763 -2.6946925580696233
7.457872790126783 -20.0
7.524113203516228 -3.523638842962245
7.717358966625735 -3.454667512550633
7.802121516323698 -2.887230177413637
7.9523754574956795 -2.7954610393622032
8.034868760790532 -2.522005914854752
8.115362875247099 -2.485581608953956
8.09464453984269 -2.1616340832906866
8.019410625205868 -1.748303133350116
8.070831165174448 -2.1329508869118605
8.033514899581297 -2.1985282197127485
7.904650051699047 -2.490760138865578
7.712459218956039 -2.815469531071735
7.658406836947076 -20.0
7.498909344119531 -20.0
7.0607129064469 -20.0
7.30350304469193 -3.9281972977217783
7.423547827734019 -3.343575310498043
7.605952107369736 -2.4719621738752267
7.810579867975945 -3.2298794908778947
7.929913576426849 -3.2604534027821797
8.053678878715202 -2.599819992197877
8.228144568424497 -1.9814196799237411
8.289794934099678 -1.6419947008944002
8.165924855137037 -0.9381902063080674
8.12202616571445 -1.155766507029712
8.043685972579317 -1.6504469958736498
8.088815578628818 -1.7730520579757494
7.961213654108746 -2.243045513412061
7.732109498979653 -2.620982051656429
7.746183552400889 -20.0
7.5206738805863464 -20.0
7.341369472384333 -20.0
7.402729231913038 -2.7117219032868762
7.589220331050139 -2.9376139557547862
7.659268692224872 -2.6241182110966186
7.851779834187539 -2.751217466572169
8.052046204842652 -2.164032758779927
8.235285991953878 -1.9774119513979775
8.412005026284524 -1.2779914977761204
8.459638845341994 -0.8220418919957763
8.284724421948429 -1.391679075306528
8.1622138417185 -1.4102649303236112
8.142580713977567 -1.485770016150487
8.132634572889243 -1.6332800912211285
7.929742621261739 -1.5913765364791908
7.6021425174024815 -20.0
7.359596159683733 -20.0
7.476690087475976 -2.817099204476757
7.598675691901474 -2.509462253777385
7.8085335357833 -2.0166724628903934
7.9812918908888175 -2.4899315781643616
8.1516108904682 -1.631708597589582
8.346275072489155 -1.7466224256259777
8.669731332057244 -0.8341538314057377
8.745756207087476 -1.0312067077182292
8.493248621170121 -1.9157047251873622
8.332130184335755 -1.765037042381598
8.273858240885913 -1.6083453850748424
8.117887976039528 -1.6371293428508351
7.9320820640587195 -2.253122230558085
7.801834883022382 -2.3766673758576515
7.709263887170664 -5.302207270587603
7.561167398819541 -20.0
7.236934433879127 -4.123514249228292
7.511304363683136 -2.2296107965354657
7.698952937290434 -1.8208356353116322
7.845949480671815 -1.5733326157847052
8.030997314287092 -1.840815433147869
8.175422543975284 -1.5055797050624913
8.392297970377504 -1.5236914147753786
8.693448804381386 -1.8232697519316945
9.067654217780639 -0.46989135733168497
8.825291001004762 -0.8520406125709681
8.42942422992322 -1.1841407181057801
8.230559990179916 -0.7716952200864172
8.008348591928497 -1.5425298840689452
7.910990355912829 -1.5849865516884973
7.830398475767452 -2.562287499812075
7.712366058623908 -20.0
7.669792465542529 -20.0
7.225617060898521 -3.4480808801084555
7.445942272128119 -2.0853621967943163
7.659395141685976 -1.958811089002712
7.907507628962203 -1.518060250504112
8.04596481603069 -1.6962287811902115
8.176692370900282 -1.592542692647015
8.362530197130818 -1.5958544472306264
8.526470407935598 -2.0089747516303316
8.714044967054932 -1.2875301856844692
8.654796520698156 -1.189361638895329
8.401810358388346 -1.3420211066009697
8.23240213545576 -1.1939818278260228
7.997093316340824 -1.7232493020460988
7.82148071823298 -1.486559384394318
7.742553895559928 -2.3940603839855523
7.565904222546079 -20.0
7.610001082456619 -20.0
7.264572202381916 -20.0
7.459653474635618 -2.9570428898446672
7.765586551872902 -2.296564192777679
7.9465340764693675 -2.256272318034879
8.054714808808663 -2.1902107145082996
8.137157326310623 -1.582299371226227
8.262166621282871 -1.784046124761122
8.388930333016232 -1.7824109976200038
8.435121216687623 -1.5562830917459
8.3704228912444 -1.6791497148246994
8.23889535155943 -1.4619118695562396
8.058008980376059 -2.0880134027857946
7.844351780813939 -1.3907410594915506
7.7636344054915 -1.3035922592113836
7.749653523639961 -2.631487441117052
7.6547840408667245 -20.0
7.456518423357554 -20.0
7.1822137508297965 -20.0
7.394100356896361 -3.284861272669377
7.612858891688806 -2.6779003083352313
7.893382480045949 -1.5390915609978544
8.100369450127983 -1.7185408425057205
8.186172657441997 -1.600808817818817
8.177759749867292 -1.6508474211583564
8.254505127572044 -1.4980952677656743
8.275133418227524 -1.7381808955717264
8.17709865411204 -1.850019478259481
8.086665102889553 -1.6955379265161705
7.911862684611279 -2.1780245527573614
7.891530312387134 -1.3328520976303904
7.921353241823706 -2.1783926737683097
7.797334223664173 -3.004761325164886
7.595782728281086 -20.0
7.404609201970049 -20.0
7.3921417093972375 -3.5306002586829734
7.6946381917125946 -3.0323464030533684
