logM logGas
7.193834655732439 -20.0
7.176052054380191 -20.0
7.279896714227275 -20.0
7.342804172930313 -20.0
7.285961776722218 -20.0
7.332287278067587 -20.0
7.235316050737981 -20.0
7.271071841405436 -20.0
7.358491455997875 -20.0
7.382528143589711 -20.0
7.3603053830688605 -20.0
7.370453841228689 -20.0
7.240298479948028 -20.0
7.411728989215179 -20.0
7.446884358587197 7.053709131762451
7.417585138276917 -20.0
7.391105861607764 -20.0
7.434751456212563 -20.0
7.542409082773089 6.6675828473055665
7.430420485853075 -20.0
7.424607765566863 -20.0
7.297826423182399 -20.0
7.3780104105654045 -20.0
7.329286458788997 -20.0
7.350027187698874 -20.0
7.3504983404759505 -20.0
7.406686261319803 7.056608319844719
7.375882011651689 7.4762326818447775
7.436137233439615 6.845827614508793
7.504370165576224 7.39540696913206
7.570454716838746 -20.0
7.585200647953129 -20.0
7.445670971084456 -20.0
7.447024653921562 -20.0
7.330475630320665 -20.0
7.3006013712180104 -20.0
7.484103324307919 -20.0
7.493913159101031 -20.0
7.5049459525503055 7.221043534827867
7.612612323365098 7.688497986423575
7.598069690148689 7.728099295836583
7.6503292850194775 7.030310195433581
7.671676445232399 6.890724119604248
7.67346924627301 7.175447273300964
7.640548629980839 7.157425949613306
7.5737623759494905 -20.0
7.497262217839414 -20.0
7.474273123023645 -20.0
7.305024589449435 -20.0
7.448622586594106 6.733360223047964
7.542732138886063 7.406147284264343
7.652696304215514 7.9270118033523636
7.630827086822038 7.604141312156819
7.750336584822485 7.5896261728117045
7.749457454734194 7.648763255832439
7.7992697368418 7.558505319027519
7.744835675168726 7.590076343798421
7.759042622011404 7.03236038976373
7.61970462098133 6.646859260168545
7.53523895356418 -20.0
7.470711684559321 -20.0
7.406068337413657 -20.0
7.241403528739476 -20.0
7.264969499562792 -20.0
7.4250916138365435 6.967174658271889
7.453629249768372 7.710642614509616
7.535479901676826 7.859462931761005
7.619950281885985 7.523649978409118
7.734332128985717 7.445308246533433
7.796328697784528 7.533217109955114
7.920854410469569 7.498338882910776
7.934827855093536 7.990925791600913
7.906516652245013 7.54122472393145
7.718514769443043 6.763447132119511
7.634859415547649 7.063185137116574
7.537674102042303 -20.0
7.47785523436434 -20.0
7.3458205603684155 -20.0
7.397945810159201 6.412707963754242
7.437545727095198 -20.0
7.571697001303159 7.193529190131227
7.565867625498345 7.212860223357285
7.830772097296259 -20.0
7.763556442098458 -20.0
7.90075888767846 7.2505463705760205
7.982620753684849 7.56877056256019
7.97947961023871 7.395195234851726
7.994268228874505 7.68833668354082
7.870254045079074 7.637036045110523
7.774889542487701 7.087281579670768
7.626268572211594 -20.0
7.509642915011261 -20.0
7.210799431677834 -20.0
7.391290275644671 -20.0
7.416334211633816 -20.0
7.601351096921691 6.954262979883946
7.6654560675406005 7.062950318377293
7.753382784744272 -20.0
7.871229576444754 -20.0
7.9281212951205715 -20.0
7.978434128841315 -20.0
7.995178461351438 7.129860634770672
7.99264295520567 7.474749038393722
7.979617826122283 7.9770151548493295
7.824039674715104 7.391703162497409
7.70402231963747 6.978933111101234
7.539514181638465 -20.0
7.2720989963045 -20.0
7.401074799790763 -20.0
7.457872790126783 -20.0
7.524113203516228 -20.0
7.717358966625735 -20.0
7.802121516323698 -20.0
7.9523754574956795 -20.0
8.034868760790532 6.823023793970317
8.115362875247099 -20.0
8.09464453984269 7.620085137493153
8.019410625205868 7.814391350213501
8.070831165174448 7.48820079444766
8.033514899581297 7.854056292192773
7.904650051699047 7.180660797490455
7.712459218956039 7.196066208963253
7.658406836947076 -20.0
7.498909344119531 -20.0
7.0607129064469 -20.0
7.30350304469193 -20.0
7.423547827734019 -20.0
7.605952107369736 -20.0
7.810579867975945 -20.0
7.929913576426849 -20.0
8.053678878715202 7.0732740917072885
8.228144568424497 7.52072088569794
8.289794934099678 7.398643553059691
8.165924855137037 7.663293517440483
8.12202616571445 7.725429269424598
8.043685972579317 7.3578446683142875
8.088815578628818 7.9507922505928725
7.961213654108746 7.299553798192919
7.732109498979653 7.053221068959986
7.746183552400889 -20.0
7.5206738805863464 -20.0
7.341369472384333 -20.0
7.402729231913038 7.040740620658341
7.589220331050139 -20.0
7.659268692224872 6.988957811578977
7.851779834187539 -20.0
8.052046204842652 6.871851659054011
8.235285991953878 7.555603173059664
8.412005026284524 8.136613914482751
8.459638845341994 8.113698133499915
8.284724421948429 7.89910800667837
8.1622138417185 7.950962674317677
8.142580713977567 7.621751302331434
8.132634572889243 7.707197179247538
7.929742621261739 7.355589242276756
7.6021425174024815 -20.0
7.359596159683733 -20.0
7.476690087475976 6.778853633880169
7.598675691901474 6.8372048474144425
7.8085335357833 7.401087696329868
7.9812918908888175 -20.0
8.1516108904682 7.430957204487715
8.346275072489155 7.658224231404692
8.669731332057244 8.328768762358818
8.745756207087476 8.155859030441045
8.493248621170121 7.50431097872851
8.332130184335755 7.745205254465101
8.273858240885913 8.044561485472242
8.117887976039528 7.834850033066616
7.9320820640587195 7.035503422507817
7.801834883022382 7.226529472696352
7.709263887170664 6.818107438990195
7.561167398819541 -20.0
7.236934433879127 -20.0
7.511304363683136 7.209841616621299
7.698952937290434 7.32023612934772
7.845949480671815 7.410457874858163
8.030997314287092 7.341149950331211
8.175422543975284 7.803509834050372
8.392297970377504 7.931209830057549
8.693448804381386 7.897296578464641
9.067654217780639 8.811635789658244
8.825291001004762 8.726331018682748
8.42942422992322 8.178543495627943
8.230559990179916 8.233371667657511
8.008348591928497 7.356569596651052
7.910990355912829 7.58129793645453
7.830398475767452 7.2847765285875905
7.712366058623908 6.6055406748358285
7.669792465542529 -20.0
7.225617060898521 -20.0
7.445942272128119 -20.0
7.659395141685976 7.311730667064945
7.907507628962203 7.662548351864706
8.04596481603069 7.715865732007305
8.176692370900282 8.035649157926624
8.362530197130818 7.7942715962193425
8.526470407935598 7.660935167299614
8.714044967054932 8.214386432540929
8.654796520698156 8.264526696334492
8.401810358388346 8.178089682599264
8.23240213545576 7.660450098579068
7.997093316340824 7.2096706130229
7.82148071823298 7.613466811549665
7.742553895559928 7.067461345040336
7.565904222546079 -20.0
7.610001082456619 -20.0
7.264572202381916 -20.0
7.459653474635618 -20.0
7.765586551872902 7.378931364043903
7.9465340764693675 7.239281328900345
8.054714808808663 7.296622121439794
8.137157326310623 7.956797657212205
8.262166621282871 7.457599587127135
8.388930333016232 7.508302082214125
8.435121216687623 7.765182714138932
8.3704228912444 7.916511620715054
8.23889535155943 7.7060077618955845
8.058008980376059 7.010406682834864
7.844351780813939 7.618287332261083
7.7636344054915 7.500447893122873
7.749653523639961 -20.0
7.6547840408667245 -20.0
7.456518423357554 -20.0
7.1822137508297965 -20.0
7.394100356896361 6.938384232244812
7.612858891688806 7.398997007524562
7.893382480045949 7.618225292132511
8.100369450127983 7.747955796731021
8.186172657441997 7.847269523577725
8.177759749867292 7.5564244860414185
8.254505127572044 7.547510445261606
8.275133418227524 7.349638203507275
8.17709865411204 7.543116500775
8.086665102889553 7.438846363226477
7.911862684611279 6.698766653055622
7.891530312387134 7.574645480991845
7.921353241823706 7.116297479584158
7.797334223664173 6.410437546588807
7.595782728281086 -20.0
7.404609201970049 -20.0
7.3921417093972375 -20.0
7.6946381917125946 6.855560933134078
7.874760689865611 7.274624936103574
8.063050480567448 7.876116223272136
8.145055174135932 7.674152773953891
8.140186598273797 8.014339472137582
8.163357756942446 7.633326835937808
8.140416789622352 7.518456256621813
8.092524527711145 7.461683294825527
7.931796576415222 -20.0
7.842095810902511 7.250759402725795
7.734144190494309 7.678666292497633
7.803846219311393 7.3494947440085525
7.653883858338331 -20.0
7.427470175398427 -20.0
7.281877217427401 -20.0
7.293354746876963 -20.0
7.573226619244762 6.6405238998048866
7.844108264179743 7.518956213662014
7.987982603738129 7.139425055249283
8.062814487595578 -20.0
8.134085876516886 8.0700500686433
8.09270842242509 7.43746948038907
8.078839063150808 7.779887054927543
